genename	protein_desc	Accession_Number	Molecular_Weight	SKMES1.AF1521.MG132.DMSO_SpC	SKMES1.AF1521.MG132.RBN011364_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
ADD1	Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2	sp|P35611|ADDA_HUMAN	81 kDa	32	37	skmes_mg132_af1521.adpr.msbio	P35611	118	5	0.135135135135135	81	32.0123456790123	37.0123456790123	1.15618974161203	1.15620118712902	ADD1
ADD2	Beta-adducin OS=Homo sapiens GN=ADD2 PE=1 SV=3	sp|P35612|ADDB_HUMAN	81 kDa	18	22	skmes_mg132_af1521.adpr.msbio	P35612	119	4	0.181818181818182	81	18.0123456790123	22.0123456790123	1.22206991089788	1.22209883398112	ADD2
ADD3	Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1	sp|Q9UEY8|ADDG_HUMAN	79 kDa	13	21	skmes_mg132_af1521.adpr.msbio	Q9UEY8	120	8	0.380952380952381	79	13.0126582278481	21.0126582278481	1.6147859922179	1.61491160645657	ADD3
AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens GN=AGPS PE=1 SV=1	sp|O00116|ADAS_HUMAN	73 kDa	7	8	skmes_mg132_af1521.adpr.msbio	O00116	8540	1	0.125	73	7.01369863013699	8.01369863013699	1.142578125	1.14265335235378	AGPS
AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	sp|Q09666|AHNK_HUMAN	629 kDa	41	14	skmes_mg132_af1521.adpr.msbio	Q09666	79026	-27	-0.658536585365854	629	41.0015898251192	14.0015898251192	0.341488949205118	0.341623994147769	AHNAK
AHNAK2	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	sp|Q8IVF2|AHNK2_HUMAN	617 kDa	4	0	skmes_mg132_af1521.adpr.msbio	Q8IVF2	113146	-4	-1	617	4.00162074554295	0.00162074554294976	0.000405022276225192	0.00249376558603491	AHNAK2
AHR	Aryl hydrocarbon receptor OS=Homo sapiens GN=AHR PE=1 SV=2	sp|P35869|AHR_HUMAN	96 kDa	12	0	skmes_mg132_af1521.adpr.msbio	P35869	196	-12	-1	96	12.0104166666667	0.0104166666666667	0.000867302688638335	0.000832639467110741	AHR
AKAP12	A-kinase anchor protein 12 OS=Homo sapiens GN=AKAP12 PE=1 SV=4	sp|Q02952|AKA12_HUMAN	191 kDa	6	0	skmes_mg132_af1521.adpr.msbio	Q02952	9590	-6	-1	191	6.00523560209424	0.00523560209424084	0.000871839581517001	0.00166389351081531	AKAP12
AKAP13	A-kinase anchor protein 13 OS=Homo sapiens GN=AKAP13 PE=1 SV=2	sp|Q12802|AKP13_HUMAN	308 kDa	9	8	skmes_mg132_af1521.adpr.msbio	Q12802	11214	-1	-0.111111111111111	308	9.00324675324675	8.00324675324675	0.888928957807429	0.889012208657048	AKAP13
AKAP9	A-kinase anchor protein 9 OS=Homo sapiens GN=AKAP9 PE=1 SV=3	sp|Q99996|AKAP9_HUMAN	454 kDa	5	3	skmes_mg132_af1521.adpr.msbio	Q99996	10142	-2	-0.4	454	5.00220264317181	3.00220264317181	0.600176133861735	0.600798403193613	AKAP9
AKR1C1	Aldo-keto reductase family 1 member C1 OS=Homo sapiens GN=AKR1C1 PE=1 SV=1	sp|Q04828|AK1C1_HUMAN	37 kDa	16	5	skmes_mg132_af1521.adpr.msbio	Q04828	1645	-11	-0.6875	37	16.027027027027	5.02702702702703	0.313659359190556	0.312929419113054	AKR1C1
ALCAM	CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=2	sp|Q13740|CD166_HUMAN	65 kDa	0	4	skmes_mg132_af1521.adpr.msbio	Q13740	214	4	1	65	0.0153846153846154	4.01538461538462	261	401	ALCAM
ALDOA	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	sp|P04075|ALDOA_HUMAN	39 kDa	14	0	skmes_mg132_af1521.adpr.msbio	P04075	226	-14	-1	39	14.025641025641	0.0256410256410256	0.00182815356489945	0.000713775874375446	ALDOA
ALYREF	THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3	sp|Q86V81|THOC4_HUMAN	27 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q86V81	10189	-3	-1	27	3.03703703703704	0.037037037037037	0.0121951219512195	0.00332225913621263	ALYREF
ANAPC1	Anaphase-promoting complex subunit 1 OS=Homo sapiens GN=ANAPC1 PE=1 SV=1	sp|Q9H1A4|APC1_HUMAN	217 kDa	2	0	skmes_mg132_af1521.adpr.msbio	Q9H1A4	64682	-2	-1	217	2.00460829493088	0.00460829493087558	0.00229885057471264	0.00497512437810945	ANAPC1
ANKHD1	Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=1 SV=1	sp|Q8IWZ3|ANKH1_HUMAN	269 kDa	2	0	skmes_mg132_af1521.adpr.msbio	Q8IWZ3	54882	-2	-1	269	2.00371747211896	0.00371747211895911	0.00185528756957328	0.00497512437810945	ANKHD1
ANKRD17	Ankyrin repeat domain-containing protein 17 OS=Homo sapiens GN=ANKRD17 PE=1 SV=3	sp|O75179|ANR17_HUMAN	274 kDa	3	0	skmes_mg132_af1521.adpr.msbio	O75179	26057	-3	-1	274	3.0036496350365	0.00364963503649635	0.00121506682867558	0.00332225913621263	ANKRD17
ANLN	Anillin OS=Homo sapiens GN=ANLN PE=1 SV=2	sp|Q9NQW6|ANLN_HUMAN	124 kDa	5	2	skmes_mg132_af1521.adpr.msbio	Q9NQW6	54443	-3	-0.6	124	5.00806451612903	2.00806451612903	0.400966183574879	0.401197604790419	ANLN
ANPEP	Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4	sp|P15144|AMPN_HUMAN	110 kDa	0	3	skmes_mg132_af1521.adpr.msbio	P15144	290	3	1	110	0.00909090909090909	3.00909090909091	331	301	ANPEP
ANXA1	Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2	sp|P04083|ANXA1_HUMAN	39 kDa	17	0	skmes_mg132_af1521.adpr.msbio	P04083	301	-17	-1	39	17.025641025641	0.0256410256410256	0.00150602409638554	0.000587889476778366	ANXA1
ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	sp|P07355|ANXA2_HUMAN	39 kDa	29	13	skmes_mg132_af1521.adpr.msbio	P07355	302	-16	-0.551724137931034	39	29.025641025641	13.025641025641	0.448763250883392	0.448466046190969	ANXA2
ANXA5	Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2	sp|P08758|ANXA5_HUMAN	36 kDa	7	0	skmes_mg132_af1521.adpr.msbio	P08758	308	-7	-1	36	7.02777777777778	0.0277777777777778	0.00395256916996047	0.0014265335235378	ANXA5
AP1G1	AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5	sp|O43747|AP1G1_HUMAN	91 kDa	2	0	skmes_mg132_af1521.adpr.msbio	O43747	164	-2	-1	91	2.01098901098901	0.010989010989011	0.00546448087431694	0.00497512437810945	AP1G1
AP2A1	AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3	sp|O95782|AP2A1_HUMAN	108 kDa	13	9	skmes_mg132_af1521.adpr.msbio	O95782	160	-4	-0.307692307692308	108	13.0092592592593	9.00925925925926	0.692526690391459	0.692544196771714	AP2A1
AP2B1	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	sp|P63010|AP2B1_HUMAN	105 kDa	21	19	skmes_mg132_af1521.adpr.msbio	P63010	163	-2	-0.0952380952380952	105	21.0095238095238	19.0095238095238	0.904805077062557	0.904807234650167	AP2B1
AP3B1	AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3	sp|O00203|AP3B1_HUMAN	121 kDa	2	0	skmes_mg132_af1521.adpr.msbio	O00203	8546	-2	-1	121	2.00826446280992	0.00826446280991736	0.00411522633744856	0.00497512437810945	AP3B1
AP3S1	AP-3 complex subunit sigma-1 OS=Homo sapiens GN=AP3S1 PE=1 SV=1	sp|Q92572|AP3S1_HUMAN	22 kDa	4	4	skmes_mg132_af1521.adpr.msbio	Q92572	1176	0	0	22	4.04545454545455	4.04545454545455	1	1	AP3S1
AP5Z1	AP-5 complex subunit zeta-1 OS=Homo sapiens GN=AP5Z1 PE=1 SV=2	sp|O43299|AP5Z1_HUMAN	89 kDa	5	0	skmes_mg132_af1521.adpr.msbio	O43299	9907	-5	-1	89	5.01123595505618	0.0112359550561798	0.00224215246636771	0.00199600798403194	AP5Z1
ARCN1	Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1	sp|P48444|COPD_HUMAN	57 kDa	6	3	skmes_mg132_af1521.adpr.msbio	P48444	372	-3	-0.5	57	6.01754385964912	3.01754385964912	0.501457725947522	0.500831946755408	ARCN1
ARF1	ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2	sp|P84077|ARF1_HUMAN	21 kDa	13	18	skmes_mg132_af1521.adpr.msbio	P84077	375	5	0.277777777777778	21	13.047619047619	18.047619047619	1.38321167883212	1.38431975403536	ARF1
ARF4	ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3	sp|P18085|ARF4_HUMAN	21 kDa	10	7	skmes_mg132_af1521.adpr.msbio	P18085	378	-3	-0.3	21	10.047619047619	7.04761904761905	0.701421800947867	0.7002997002997	ARF4
ARF5	ADP-ribosylation factor 5 OS=Homo sapiens GN=ARF5 PE=1 SV=2	sp|P84085|ARF5_HUMAN	21 kDa	7	7	skmes_mg132_af1521.adpr.msbio	P84085	381	0	0	21	7.04761904761905	7.04761904761905	1	1	ARF5
ARF6	ADP-ribosylation factor 6 OS=Homo sapiens GN=ARF6 PE=1 SV=2	sp|P62330|ARF6_HUMAN	20 kDa	4	4	skmes_mg132_af1521.adpr.msbio	P62330	382	0	0	20	4.05	4.05	1	1	ARF6
ARG1	Arginase-1 OS=Homo sapiens GN=ARG1 PE=1 SV=2	sp|P05089|ARGI1_HUMAN	35 kDa	9	5	skmes_mg132_af1521.adpr.msbio	P05089	383	-4	-0.444444444444444	35	9.02857142857143	5.02857142857143	0.556962025316456	0.556048834628191	ARG1
ASCC3	Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3 PE=1 SV=3	sp|Q8N3C0|ASCC3_HUMAN	251 kDa	19	0	skmes_mg132_af1521.adpr.msbio	Q8N3C0	10973	-19	-1	251	19.003984063745	0.00398406374501992	0.000209643605870021	0.000526038926880589	ASCC3
ASPH	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3	sp|Q12797|ASPH_HUMAN	86 kDa	12	4	skmes_mg132_af1521.adpr.msbio	Q12797	444	-8	-0.666666666666667	86	12.0116279069767	4.01162790697674	0.333978702807357	0.333888426311407	ASPH
ATAD5	ATPase family AAA domain-containing protein 5 OS=Homo sapiens GN=ATAD5 PE=1 SV=4	sp|Q96QE3|ATAD5_HUMAN	208 kDa	0	4	skmes_mg132_af1521.adpr.msbio	Q96QE3	79915	4	1	208	0.00480769230769231	4.00480769230769	833	401	ATAD5
ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1	sp|P05023|AT1A1_HUMAN	113 kDa	6	2	skmes_mg132_af1521.adpr.msbio	P05023	476	-4	-0.666666666666667	113	6.00884955752212	2.00884955752212	0.334315169366716	0.334442595673877	ATP1A1
ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1	sp|P16615|AT2A2_HUMAN	115 kDa	4	0	skmes_mg132_af1521.adpr.msbio	P16615	488	-4	-1	115	4.00869565217391	0.00869565217391304	0.00216919739696312	0.00249376558603491	ATP2A2
ATP5C1	ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1	sp|P36542|ATPG_HUMAN	33 kDa	2	0	skmes_mg132_af1521.adpr.msbio	P36542	509	-2	-1	33	2.03030303030303	0.0303030303030303	0.0149253731343284	0.00497512437810945	ATP5F1C
ATP5F1	ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2	sp|P24539|AT5F1_HUMAN	29 kDa	3	0	skmes_mg132_af1521.adpr.msbio	P24539	515	-3	-1	29	3.03448275862069	0.0344827586206897	0.0113636363636364	0.00332225913621263	ATP5PB
ATP5O	ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1	sp|P48047|ATPO_HUMAN	23 kDa	2	0	skmes_mg132_af1521.adpr.msbio	P48047	539	-2	-1	23	2.04347826086957	0.0434782608695652	0.0212765957446808	0.00497512437810945	ATP5PO
ATPIF1	ATPase inhibitor, mitochondrial OS=Homo sapiens GN=ATPIF1 PE=1 SV=1	sp|Q9UII2|ATIF1_HUMAN	12 kDa	29	62	skmes_mg132_af1521.adpr.msbio	Q9UII2	93974	33	0.532258064516129	12	29.0833333333333	62.0833333333333	2.13467048710602	2.13753877973113	ATP5IF1
ATR	Serine/threonine-protein kinase ATR OS=Homo sapiens GN=ATR PE=1 SV=3	sp|Q13535|ATR_HUMAN	301 kDa	5	0	skmes_mg132_af1521.adpr.msbio	Q13535	545	-5	-1	301	5.00332225913621	0.00332225913621262	0.000664010624169987	0.00199600798403194	ATR
ATXN2L	Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L PE=1 SV=2	sp|Q8WWM7|ATX2L_HUMAN	113 kDa	7	2	skmes_mg132_af1521.adpr.msbio	Q8WWM7	11273	-5	-0.714285714285714	113	7.00884955752212	2.00884955752212	0.286616161616162	0.286733238231098	ATXN2L
BAG2	BAG family molecular chaperone regulator 2 OS=Homo sapiens GN=BAG2 PE=1 SV=1	sp|O95816|BAG2_HUMAN	24 kDa	9	0	skmes_mg132_af1521.adpr.msbio	O95816	9532	-9	-1	24	9.04166666666667	0.0416666666666667	0.00460829493087558	0.00110987791342952	BAG2
BAG3	BAG family molecular chaperone regulator 3 OS=Homo sapiens GN=BAG3 PE=1 SV=3	sp|O95817|BAG3_HUMAN	62 kDa	10	0	skmes_mg132_af1521.adpr.msbio	O95817	9531	-10	-1	62	10.0161290322581	0.0161290322580645	0.00161030595813205	0.000999000999000999	BAG3
BAG6	Large proline-rich protein BAG6 OS=Homo sapiens GN=BAG6 PE=1 SV=2	sp|P46379|BAG6_HUMAN	119 kDa	19	0	skmes_mg132_af1521.adpr.msbio	P46379	7917	-19	-1	119	19.0084033613445	0.00840336134453781	0.000442086648983201	0.000526038926880589	BAG6
BAIAP2	Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens GN=BAIAP2 PE=1 SV=1	sp|Q9UQB8|BAIP2_HUMAN	61 kDa	48	63	skmes_mg132_af1521.adpr.msbio	Q9UQB8	10458	15	0.238095238095238	61	48.0163934426229	63.0163934426229	1.31239330829635	1.31243490939388	BAIAP2
BAIAP2L1	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens GN=BAIAP2L1 PE=1 SV=2	sp|Q9UHR4|BI2L1_HUMAN	57 kDa	6	10	skmes_mg132_af1521.adpr.msbio	Q9UHR4	55971	4	0.4	57	6.01754385964912	10.0175438596491	1.66472303206997	1.66555740432612	BAIAP2L1
BCAP31	B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3	sp|P51572|BAP31_HUMAN	28 kDa	12	7	skmes_mg132_af1521.adpr.msbio	P51572	10134	-5	-0.416666666666667	28	12.0357142857143	7.03571428571429	0.584569732937685	0.583680266444629	BCAP31
BCAS3	Breast carcinoma-amplified sequence 3 OS=Homo sapiens GN=BCAS3 PE=1 SV=3	sp|Q9H6U6|BCAS3_HUMAN	101 kDa	0	2	skmes_mg132_af1521.adpr.msbio	Q9H6U6	54828	2	1	101	0.0099009900990099	2.00990099009901	203	201	BCAS3
BLMH	Bleomycin hydrolase OS=Homo sapiens GN=BLMH PE=1 SV=1	sp|Q13867|BLMH_HUMAN	53 kDa	0	2	skmes_mg132_af1521.adpr.msbio	Q13867	642	2	1	53	0.0188679245283019	2.0188679245283	107	201	BLMH
BRAT1	BRCA1-associated ATM activator 1 OS=Homo sapiens GN=BRAT1 PE=1 SV=2	sp|Q6PJG6|BRAT1_HUMAN	88 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q6PJG6	221927	-3	-1	88	3.01136363636364	0.0113636363636364	0.00377358490566038	0.00332225913621263	BRAT1
BSG	Basigin OS=Homo sapiens GN=BSG PE=1 SV=2	sp|P35613|BASI_HUMAN	42 kDa	4	4	skmes_mg132_af1521.adpr.msbio	P35613	682	0	0	42	4.02380952380952	4.02380952380952	1	1	BSG
BTF3	Transcription factor BTF3 OS=Homo sapiens GN=BTF3 PE=1 SV=1	sp|P20290|BTF3_HUMAN	22 kDa	10	18	skmes_mg132_af1521.adpr.msbio	P20290	689	8	0.444444444444444	22	10.0454545454545	18.0454545454545	1.79638009049774	1.7992007992008	BTF3
BTF3L4	Transcription factor BTF3 homolog 4 OS=Homo sapiens GN=BTF3L4 PE=1 SV=1	sp|Q96K17|BT3L4_HUMAN	17 kDa	0	4	skmes_mg132_af1521.adpr.msbio	Q96K17	91408	4	1	17	0.0588235294117647	4.05882352941176	69	401	BTF3L4
BUB3	Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3 PE=1 SV=1	sp|O43684|BUB3_HUMAN	37 kDa	38	40	skmes_mg132_af1521.adpr.msbio	O43684	9184	2	0.05	37	38.027027027027	40.027027027027	1.05259417199716	1.05261773217574	BUB3
BUD31	Protein BUD31 homolog OS=Homo sapiens GN=BUD31 PE=1 SV=2	sp|P41223|BUD31_HUMAN	17 kDa	40	61	skmes_mg132_af1521.adpr.msbio	P41223	8896	21	0.344262295081967	17	40.0588235294118	61.0588235294118	1.52422907488987	1.5248687828043	BUD31
BZW1	Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens GN=BZW1 PE=1 SV=1	sp|Q7L1Q6|BZW1_HUMAN	48 kDa	2	0	skmes_mg132_af1521.adpr.msbio	Q7L1Q6	9689	-2	-1	48	2.02083333333333	0.0208333333333333	0.0103092783505155	0.00497512437810945	BZW1
BZW2	Basic leucine zipper and W2 domain-containing protein 2 OS=Homo sapiens GN=BZW2 PE=1 SV=1	sp|Q9Y6E2|BZW2_HUMAN	48 kDa	4	3	skmes_mg132_af1521.adpr.msbio	Q9Y6E2	28969	-1	-0.25	48	4.02083333333333	3.02083333333333	0.751295336787565	0.750623441396509	BZW2
C12orf65	Probable peptide chain release factor C12orf65, mitochondrial OS=Homo sapiens GN=C12orf65 PE=2 SV=1	sp|Q9H3J6|CL065_HUMAN	19 kDa	5	5	skmes_mg132_af1521.adpr.msbio	Q9H3J6	91574	0	0	19	5.05263157894737	5.05263157894737	1	1	NA
C15orf40	UPF0235 protein C15orf40 OS=Homo sapiens GN=C15orf40 PE=1 SV=2	sp|Q8WUR7|CO040_HUMAN	16 kDa	2	6	skmes_mg132_af1521.adpr.msbio	Q8WUR7	123207	4	0.666666666666667	16	2.0625	6.0625	2.93939393939394	2.99004975124378	NA
C19orf53	Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens GN=C19orf53 PE=1 SV=1	sp|Q9UNZ5|L10K_HUMAN	11 kDa	10	12	skmes_mg132_af1521.adpr.msbio	Q9UNZ5	28974	2	0.166666666666667	11	10.0909090909091	12.0909090909091	1.1981981981982	1.1998001998002	NA
C1orf112	Uncharacterized protein C1orf112 OS=Homo sapiens GN=C1orf112 PE=1 SV=1	sp|Q9NSG2|CA112_HUMAN	97 kDa	2	0	skmes_mg132_af1521.adpr.msbio	Q9NSG2	55732	-2	-1	97	2.01030927835052	0.0103092783505155	0.00512820512820513	0.00497512437810945	NA
C1orf174	UPF0688 protein C1orf174 OS=Homo sapiens GN=C1orf174 PE=1 SV=2	sp|Q8IYL3|CA174_HUMAN	26 kDa	2	4	skmes_mg132_af1521.adpr.msbio	Q8IYL3	339448	2	0.5	26	2.03846153846154	4.03846153846154	1.9811320754717	1.99502487562189	NA
C6orf203	Uncharacterized protein C6orf203 OS=Homo sapiens GN=C6orf203 PE=1 SV=1	sp|Q9P0P8|CF203_HUMAN	28 kDa	0	3	skmes_mg132_af1521.adpr.msbio	Q9P0P8	51250	3	1	28	0.0357142857142857	3.03571428571429	85	301	NA
C7orf50	Uncharacterized protein C7orf50 OS=Homo sapiens GN=C7orf50 PE=1 SV=1	sp|Q9BRJ6|CG050_HUMAN	22 kDa	2	0	skmes_mg132_af1521.adpr.msbio	Q9BRJ6	84310	-2	-1	22	2.04545454545455	0.0454545454545455	0.0222222222222222	0.00497512437810945	NA
C8orf59	Uncharacterized protein C8orf59 OS=Homo sapiens GN=C8orf59 PE=1 SV=4	sp|Q8N0T1|CH059_HUMAN	11 kDa	9	17	skmes_mg132_af1521.adpr.msbio	Q8N0T1	401466	8	0.470588235294118	11	9.09090909090909	17.0909090909091	1.88	1.88790233074362	NA
CACYBP	Calcyclin-binding protein OS=Homo sapiens GN=CACYBP PE=1 SV=2	sp|Q9HB71|CYBP_HUMAN	26 kDa	12	23	skmes_mg132_af1521.adpr.msbio	Q9HB71	27101	11	0.478260869565217	26	12.0384615384615	23.0384615384615	1.91373801916933	1.91590341382182	CACYBP
CAD	CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3	sp|P27708|PYR1_HUMAN	243 kDa	17	0	skmes_mg132_af1521.adpr.msbio	P27708	790	-17	-1	243	17.0041152263374	0.00411522633744856	0.000242013552758955	0.000587889476778366	CAD
CAND1	Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2	sp|Q86VP6|CAND1_HUMAN	136 kDa	2	0	skmes_mg132_af1521.adpr.msbio	Q86VP6	55832	-2	-1	136	2.00735294117647	0.00735294117647059	0.00366300366300366	0.00497512437810945	CAND1
CANX	Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2	sp|P27824|CALX_HUMAN	68 kDa	21	15	skmes_mg132_af1521.adpr.msbio	P27824	821	-6	-0.285714285714286	68	21.0147058823529	15.0147058823529	0.714485654303709	0.7144217039505	CANX
CAP1	Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5	sp|Q01518|CAP1_HUMAN	52 kDa	7	0	skmes_mg132_af1521.adpr.msbio	Q01518	10487	-7	-1	52	7.01923076923077	0.0192307692307692	0.00273972602739726	0.0014265335235378	CAP1
CAPN1	Calpain-1 catalytic subunit OS=Homo sapiens GN=CAPN1 PE=1 SV=1	sp|P07384|CAN1_HUMAN	82 kDa	5	2	skmes_mg132_af1521.adpr.msbio	P07384	823	-3	-0.6	82	5.01219512195122	2.01219512195122	0.401459854014599	0.401197604790419	CAPN1
CAPNS1	Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1	sp|P04632|CPNS1_HUMAN	28 kDa	10	0	skmes_mg132_af1521.adpr.msbio	P04632	826	-10	-1	28	10.0357142857143	0.0357142857142857	0.00355871886120996	0.000999000999000999	CAPNS1
CAPRIN1	Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2	sp|Q14444|CAPR1_HUMAN	78 kDa	4	0	skmes_mg132_af1521.adpr.msbio	Q14444	4076	-4	-1	78	4.01282051282051	0.0128205128205128	0.00319488817891374	0.00249376558603491	CAPRIN1
CASP14	Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2	sp|P31944|CASPE_HUMAN	28 kDa	2	0	skmes_mg132_af1521.adpr.msbio	P31944	23581	-2	-1	28	2.03571428571429	0.0357142857142857	0.0175438596491228	0.00497512437810945	CASP14
CAT	Catalase OS=Homo sapiens GN=CAT PE=1 SV=3	sp|P04040|CATA_HUMAN	60 kDa	6	0	skmes_mg132_af1521.adpr.msbio	P04040	847	-6	-1	60	6.01666666666667	0.0166666666666667	0.00277008310249307	0.00166389351081531	CAT
