genename	protein_desc	Accession_Number	Molecular_Weight	NCIH1373.AF1521.DMSO_SpC	NCIH1373.AF1521.RBN011364_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
ANKHD1	Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=1 SV=1	sp|Q8IWZ3|ANKH1_HUMAN	269 kDa	0	2	ncih1373_af1521.adpr.msbio	Q8IWZ3	54882	2	1	269	0.00371747211895911	2.00371747211896	539	201	ANKHD1
ANKRD17	Ankyrin repeat domain-containing protein 17 OS=Homo sapiens GN=ANKRD17 PE=1 SV=3	sp|O75179|ANR17_HUMAN	274 kDa	3	0	ncih1373_af1521.adpr.msbio	O75179	26057	-3	-1	274	3.0036496350365	0.00364963503649635	0.00121506682867558	0.00332225913621263	ANKRD17
ANLN	Anillin OS=Homo sapiens GN=ANLN PE=1 SV=2	sp|Q9NQW6|ANLN_HUMAN	124 kDa	9	0	ncih1373_af1521.adpr.msbio	Q9NQW6	54443	-9	-1	124	9.00806451612903	0.00806451612903226	0.000895255147717099	0.00110987791342952	ANLN
ANXA1	Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2	sp|P04083|ANXA1_HUMAN	39 kDa	6	9	ncih1373_af1521.adpr.msbio	P04083	301	3	0.333333333333333	39	6.02564102564103	9.02564102564103	1.49787234042553	1.49916805324459	ANXA1
ANXA11	Annexin A11 OS=Homo sapiens GN=ANXA11 PE=1 SV=1	sp|P50995|ANX11_HUMAN	54 kDa	10	3	ncih1373_af1521.adpr.msbio	P50995	311	-7	-0.7	54	10.0185185185185	3.01851851851852	0.301293900184843	0.300699300699301	ANXA11
ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	sp|P07355|ANXA2_HUMAN	39 kDa	34	25	ncih1373_af1521.adpr.msbio	P07355	302	-9	-0.264705882352941	39	34.025641025641	25.025641025641	0.735493594574227	0.735371949426639	ANXA2
ANXA5	Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2	sp|P08758|ANXA5_HUMAN	36 kDa	3	0	ncih1373_af1521.adpr.msbio	P08758	308	-3	-1	36	3.02777777777778	0.0277777777777778	0.00917431192660551	0.00332225913621263	ANXA5
ANXA7	Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3	sp|P20073|ANXA7_HUMAN	53 kDa	3	4	ncih1373_af1521.adpr.msbio	P20073	310	1	0.25	53	3.0188679245283	4.0188679245283	1.33125	1.33222591362126	ANXA7
AP1B1	AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2	sp|Q10567|AP1B1_HUMAN	105 kDa	14	0	ncih1373_af1521.adpr.msbio	Q10567	162	-14	-1	105	14.0095238095238	0.00952380952380952	0.000679809653297077	0.000713775874375446	AP1B1
AP1G1	AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5	sp|O43747|AP1G1_HUMAN	91 kDa	2	0	ncih1373_af1521.adpr.msbio	O43747	164	-2	-1	91	2.01098901098901	0.010989010989011	0.00546448087431694	0.00497512437810945	AP1G1
AP2A1	AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3	sp|O95782|AP2A1_HUMAN	108 kDa	8	3	ncih1373_af1521.adpr.msbio	O95782	160	-5	-0.625	108	8.00925925925926	3.00925925925926	0.375722543352601	0.375780274656679	AP2A1
AP2B1	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	sp|P63010|AP2B1_HUMAN	105 kDa	19	12	ncih1373_af1521.adpr.msbio	P63010	163	-7	-0.368421052631579	105	19.0095238095238	12.0095238095238	0.631763527054108	0.631772751183588	AP2B1
APOA1	Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1	sp|P02647|APOA1_HUMAN	31 kDa	0	9	ncih1373_af1521.adpr.msbio	P02647	335	9	1	31	0.032258064516129	9.03225806451613	280	901	APOA1
ARAP1	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=1 SV=3"	sp|Q96P48|ARAP1_HUMAN	162 kDa	6	3	ncih1373_af1521.adpr.msbio	Q96P48	116985	-3	-0.5	162	6.00617283950617	3.00617283950617	0.500513874614594	0.500831946755408	ARAP1
ARCN1	Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1	sp|P48444|COPD_HUMAN	57 kDa	7	3	ncih1373_af1521.adpr.msbio	P48444	372	-4	-0.571428571428571	57	7.01754385964912	3.01754385964912	0.43	0.429386590584879	ARCN1
ARF3	ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=1 SV=2	sp|P61204|ARF3_HUMAN	21 kDa	26	22	ncih1373_af1521.adpr.msbio	P61204	377	-4	-0.153846153846154	21	26.047619047619	22.047619047619	0.846435100548446	0.846212995001922	ARF3
ARF4	ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3	sp|P18085|ARF4_HUMAN	21 kDa	8	9	ncih1373_af1521.adpr.msbio	P18085	378	1	0.111111111111111	21	8.04761904761905	9.04761904761905	1.12426035502959	1.12484394506866	ARF4
ARF6	ADP-ribosylation factor 6 OS=Homo sapiens GN=ARF6 PE=1 SV=2	sp|P62330|ARF6_HUMAN	20 kDa	13	13	ncih1373_af1521.adpr.msbio	P62330	382	0	0	20	13.05	13.05	1	1	ARF6
ARG1	Arginase-1 OS=Homo sapiens GN=ARG1 PE=1 SV=2	sp|P05089|ARGI1_HUMAN	35 kDa	4	0	ncih1373_af1521.adpr.msbio	P05089	383	-4	-1	35	4.02857142857143	0.0285714285714286	0.00709219858156028	0.00249376558603491	ARG1
ARGLU1	Arginine and glutamate-rich protein 1 OS=Homo sapiens GN=ARGLU1 PE=1 SV=1	sp|Q9NWB6|ARGL1_HUMAN	33 kDa	10	4	ncih1373_af1521.adpr.msbio	Q9NWB6	55082	-6	-0.6	33	10.030303030303	4.03030303030303	0.401812688821752	0.400599400599401	ARGLU1
ARHGAP29	Rho GTPase-activating protein 29 OS=Homo sapiens GN=ARHGAP29 PE=1 SV=2	sp|Q52LW3|RHG29_HUMAN	142 kDa	2	0	ncih1373_af1521.adpr.msbio	Q52LW3	9411	-2	-1	142	2.00704225352113	0.00704225352112676	0.00350877192982456	0.00497512437810945	ARHGAP29
ARL1	ADP-ribosylation factor-like protein 1 OS=Homo sapiens GN=ARL1 PE=1 SV=1	sp|P40616|ARL1_HUMAN	20 kDa	2	2	ncih1373_af1521.adpr.msbio	P40616	400	0	0	20	2.05	2.05	1	1	ARL1
ARL6IP4	ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens GN=ARL6IP4 PE=1 SV=2	sp|Q66PJ3|AR6P4_HUMAN	45 kDa	2	0	ncih1373_af1521.adpr.msbio	Q66PJ3	51329	-2	-1	45	2.02222222222222	0.0222222222222222	0.010989010989011	0.00497512437810945	ARL6IP4
ASPH	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3	sp|Q12797|ASPH_HUMAN	86 kDa	29	20	ncih1373_af1521.adpr.msbio	Q12797	444	-9	-0.310344827586207	86	29.0116279069767	20.0116279069767	0.689779559118237	0.68976215098242	ASPH
ATAD3B	ATPase family AAA domain-containing protein 3B OS=Homo sapiens GN=ATAD3B PE=1 SV=1	sp|Q5T9A4|ATD3B_HUMAN	73 kDa	5	3	ncih1373_af1521.adpr.msbio	Q5T9A4	83858	-2	-0.4	73	5.01369863013699	3.01369863013699	0.601092896174864	0.600798403193613	ATAD3B
ATAD5	ATPase family AAA domain-containing protein 5 OS=Homo sapiens GN=ATAD5 PE=1 SV=4	sp|Q96QE3|ATAD5_HUMAN	208 kDa	0	2	ncih1373_af1521.adpr.msbio	Q96QE3	79915	2	1	208	0.00480769230769231	2.00480769230769	417	201	ATAD5
ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1	sp|P05023|AT1A1_HUMAN	113 kDa	14	0	ncih1373_af1521.adpr.msbio	P05023	476	-14	-1	113	14.0088495575221	0.00884955752212389	0.000631711939355654	0.000713775874375446	ATP1A1
ATP1A3	Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens GN=ATP1A3 PE=1 SV=3	sp|P13637|AT1A3_HUMAN	112 kDa	18	0	ncih1373_af1521.adpr.msbio	P13637	478	-18	-1	112	18.0089285714286	0.00892857142857143	0.000495785820525533	0.000555247084952804	ATP1A3
ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1	sp|P16615|AT2A2_HUMAN	115 kDa	12	8	ncih1373_af1521.adpr.msbio	P16615	488	-4	-0.333333333333333	115	12.0086956521739	8.00869565217391	0.666908037653874	0.666944213155704	ATP2A2
ATP2B1	Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens GN=ATP2B1 PE=1 SV=3	sp|P20020|AT2B1_HUMAN	139 kDa	6	0	ncih1373_af1521.adpr.msbio	P20020	490	-6	-1	139	6.00719424460432	0.00719424460431655	0.00119760479041916	0.00166389351081531	ATP2B1
ATP5A1	"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1"	sp|P25705|ATPA_HUMAN	60 kDa	25	25	ncih1373_af1521.adpr.msbio	P25705	498	0	0	60	25.0166666666667	25.0166666666667	1	1	ATP5F1A
ATP5B	"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3"	sp|P06576|ATPB_HUMAN	57 kDa	23	20	ncih1373_af1521.adpr.msbio	P06576	506	-3	-0.130434782608696	57	23.0175438596491	20.0175438596491	0.869664634146341	0.869621903520209	ATP5F1B
ATP5C1	"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1"	sp|P36542|ATPG_HUMAN	33 kDa	6	8	ncih1373_af1521.adpr.msbio	P36542	509	2	0.25	33	6.03030303030303	8.03030303030303	1.33165829145729	1.33277870216306	ATP5F1C
ATP5F1	"ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2"	sp|P24539|AT5F1_HUMAN	29 kDa	4	3	ncih1373_af1521.adpr.msbio	P24539	515	-1	-0.25	29	4.03448275862069	3.03448275862069	0.752136752136752	0.750623441396509	ATP5PB
ATP5O	"ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1"	sp|P48047|ATPO_HUMAN	23 kDa	4	4	ncih1373_af1521.adpr.msbio	P48047	539	0	0	23	4.04347826086957	4.04347826086957	1	1	ATP5PO
ATPIF1	"ATPase inhibitor, mitochondrial OS=Homo sapiens GN=ATPIF1 PE=1 SV=1"	sp|Q9UII2|ATIF1_HUMAN	12 kDa	22	23	ncih1373_af1521.adpr.msbio	Q9UII2	93974	1	0.0434782608695652	12	22.0833333333333	23.0833333333333	1.04528301886792	1.04543389368469	ATP5IF1
ATRX	Transcriptional regulator ATRX OS=Homo sapiens GN=ATRX PE=1 SV=5	sp|P46100|ATRX_HUMAN	283 kDa	6	0	ncih1373_af1521.adpr.msbio	P46100	546	-6	-1	283	6.00353356890459	0.00353356890459364	0.000588581518540318	0.00166389351081531	ATRX
ATXN2L	Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L PE=1 SV=2	sp|Q8WWM7|ATX2L_HUMAN	113 kDa	13	5	ncih1373_af1521.adpr.msbio	Q8WWM7	11273	-8	-0.615384615384615	113	13.0088495575221	5.00884955752212	0.385034013605442	0.385088393543428	ATXN2L
AZGP1	Zinc-alpha-2-glycoprotein OS=Homo sapiens GN=AZGP1 PE=1 SV=2	sp|P25311|ZA2G_HUMAN	34 kDa	3	0	ncih1373_af1521.adpr.msbio	P25311	563	-3	-1	34	3.02941176470588	0.0294117647058824	0.00970873786407767	0.00332225913621263	AZGP1
BAG3	BAG family molecular chaperone regulator 3 OS=Homo sapiens GN=BAG3 PE=1 SV=3	sp|O95817|BAG3_HUMAN	62 kDa	2	0	ncih1373_af1521.adpr.msbio	O95817	9531	-2	-1	62	2.01612903225806	0.0161290322580645	0.008	0.00497512437810945	BAG3
BAG6	Large proline-rich protein BAG6 OS=Homo sapiens GN=BAG6 PE=1 SV=2	sp|P46379|BAG6_HUMAN	119 kDa	17	10	ncih1373_af1521.adpr.msbio	P46379	7917	-7	-0.411764705882353	119	17.0084033613445	10.0084033613445	0.588438735177866	0.588477366255144	BAG6
BAIAP2	Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens GN=BAIAP2 PE=1 SV=1	sp|Q9UQB8|BAIP2_HUMAN	61 kDa	43	39	ncih1373_af1521.adpr.msbio	Q9UQB8	10458	-4	-0.0930232558139535	61	43.0163934426229	39.0163934426229	0.907012195121951	0.906998372471518	BAIAP2
BAIAP2L1	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens GN=BAIAP2L1 PE=1 SV=2	sp|Q9UHR4|BI2L1_HUMAN	57 kDa	23	21	ncih1373_af1521.adpr.msbio	Q9UHR4	55971	-2	-0.0869565217391304	57	23.0175438596491	21.0175438596491	0.913109756097561	0.913081269013472	BAIAP2L1
BANF1	Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1	sp|O75531|BAF_HUMAN	10 kDa	2	0	ncih1373_af1521.adpr.msbio	O75531	8815	-2	-1	10	2.1	0.1	0.0476190476190476	0.00497512437810945	BANF1
BASP1	Brain acid soluble protein 1 OS=Homo sapiens GN=BASP1 PE=1 SV=2	sp|P80723|BASP1_HUMAN	23 kDa	12	16	ncih1373_af1521.adpr.msbio	P80723	10409	4	0.25	23	12.0434782608696	16.0434782608696	1.33212996389892	1.3330557868443	BASP1
BCAP31	B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3	sp|P51572|BAP31_HUMAN	28 kDa	7	8	ncih1373_af1521.adpr.msbio	P51572	10134	1	0.125	28	7.03571428571429	8.03571428571429	1.14213197969543	1.14265335235378	BCAP31
BCLAF1	Bcl-2-associated transcription factor 1 OS=Homo sapiens GN=BCLAF1 PE=1 SV=2	sp|Q9NYF8|BCLF1_HUMAN	106 kDa	2	0	ncih1373_af1521.adpr.msbio	Q9NYF8	9774	-2	-1	106	2.00943396226415	0.00943396226415094	0.00469483568075117	0.00497512437810945	BCLAF1
BSG	Basigin OS=Homo sapiens GN=BSG PE=1 SV=2	sp|P35613|BASI_HUMAN	42 kDa	2	0	ncih1373_af1521.adpr.msbio	P35613	682	-2	-1	42	2.02380952380952	0.0238095238095238	0.0117647058823529	0.00497512437810945	BSG
BTF3	Transcription factor BTF3 OS=Homo sapiens GN=BTF3 PE=1 SV=1	sp|P20290|BTF3_HUMAN	22 kDa	9	9	ncih1373_af1521.adpr.msbio	P20290	689	0	0	22	9.04545454545454	9.04545454545454	1	1	BTF3
BUB3	Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3 PE=1 SV=1	sp|O43684|BUB3_HUMAN	37 kDa	12	11	ncih1373_af1521.adpr.msbio	O43684	9184	-1	-0.0833333333333333	37	12.027027027027	11.027027027027	0.91685393258427	0.916736053288926	BUB3
BUD31	Protein BUD31 homolog OS=Homo sapiens GN=BUD31 PE=1 SV=2	sp|P41223|BUD31_HUMAN	17 kDa	8	8	ncih1373_af1521.adpr.msbio	P41223	8896	0	0	17	8.05882352941176	8.05882352941176	1	1	BUD31
C12orf65	"Probable peptide chain release factor C12orf65, mitochondrial OS=Homo sapiens GN=C12orf65 PE=2 SV=1"	sp|Q9H3J6|CL065_HUMAN	19 kDa	8	9	ncih1373_af1521.adpr.msbio	Q9H3J6	91574	1	0.111111111111111	19	8.05263157894737	9.05263157894737	1.12418300653595	1.12484394506866	NA
C19orf53	Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens GN=C19orf53 PE=1 SV=1	sp|Q9UNZ5|L10K_HUMAN	11 kDa	8	8	ncih1373_af1521.adpr.msbio	Q9UNZ5	28974	0	0	11	8.09090909090909	8.09090909090909	1	1	NA
CACYBP	Calcyclin-binding protein OS=Homo sapiens GN=CACYBP PE=1 SV=2	sp|Q9HB71|CYBP_HUMAN	26 kDa	7	5	ncih1373_af1521.adpr.msbio	Q9HB71	27101	-2	-0.285714285714286	26	7.03846153846154	5.03846153846154	0.715846994535519	0.714693295292439	CACYBP
CADPS	Calcium-dependent secretion activator 1 OS=Homo sapiens GN=CADPS PE=1 SV=3	sp|Q9ULU8|CAPS1_HUMAN	153 kDa	5	0	ncih1373_af1521.adpr.msbio	Q9ULU8	8618	-5	-1	153	5.00653594771242	0.0065359477124183	0.00130548302872063	0.00199600798403194	CADPS
CALD1	Caldesmon OS=Homo sapiens GN=CALD1 PE=1 SV=3	sp|Q05682|CALD1_HUMAN	93 kDa	14	10	ncih1373_af1521.adpr.msbio	Q05682	800	-4	-0.285714285714286	93	14.010752688172	10.010752688172	0.714504988488104	0.714489650249822	CALD1
CALM1	Calmodulin-1 OS=Homo sapiens GN=CALM1 PE=1 SV=1	sp|P0DP23|CALM1_HUMAN (+2)	17 kDa	0	2	ncih1373_af1521.adpr.msbio	P0DP23	801	2	1	17	0.0588235294117647	2.05882352941176	35	201	CALM1
CANX	Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2	sp|P27824|CALX_HUMAN	68 kDa	15	17	ncih1373_af1521.adpr.msbio	P27824	821	2	0.117647058823529	68	15.0147058823529	17.0147058823529	1.1332027424094	1.13324450366422	CANX
CAP1	Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5	sp|Q01518|CAP1_HUMAN	52 kDa	2	0	ncih1373_af1521.adpr.msbio	Q01518	10487	-2	-1	52	2.01923076923077	0.0192307692307692	0.00952380952380952	0.00497512437810945	CAP1
CAPN1	Calpain-1 catalytic subunit OS=Homo sapiens GN=CAPN1 PE=1 SV=1	sp|P07384|CAN1_HUMAN	82 kDa	29	32	ncih1373_af1521.adpr.msbio	P07384	823	3	0.09375	82	29.0121951219512	32.0121951219512	1.10340479192938	1.10341261633919	CAPN1
CAPN2	Calpain-2 catalytic subunit OS=Homo sapiens GN=CAPN2 PE=1 SV=6	sp|P17655|CAN2_HUMAN	80 kDa	24	14	ncih1373_af1521.adpr.msbio	P17655	824	-10	-0.416666666666667	80	24.0125	14.0125	0.583550234252993	0.58350687213661	CAPN2
CAPNS1	Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1	sp|P04632|CPNS1_HUMAN	28 kDa	13	13	ncih1373_af1521.adpr.msbio	P04632	826	0	0	28	13.0357142857143	13.0357142857143	1	1	CAPNS1
CAPRIN1	Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2	sp|Q14444|CAPR1_HUMAN	78 kDa	19	9	ncih1373_af1521.adpr.msbio	Q14444	4076	-10	-0.526315789473684	78	19.0128205128205	9.01282051282051	0.47403910991234	0.473961073119411	CAPRIN1
