genename	protein_desc	Accession_Number	Molecular_Weight	SKMES1.AF1521.DMSO_SpC	SKMES1.AF1521.RBN011628_1um_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
AHNAK2	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	sp|Q8IVF2|AHNK2_HUMAN	617 kDa	3	14	skmes_adpr.msbio	Q8IVF2	113146	11	0.785714285714286	617	3.00162074554295	14.0016207455429	4.664686825054	4.65448504983389	AHNAK2
AHR	Aryl hydrocarbon receptor OS=Homo sapiens GN=AHR PE=1 SV=2	sp|P35869|AHR_HUMAN	96 kDa	8	0	skmes_adpr.msbio	P35869	196	-8	-1	96	8.01041666666667	0.0104166666666667	0.00130039011703511	0.00124843945068664	AHR
AHSG	Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1	sp|P02765|FETUA_HUMAN	39 kDa	2	2	skmes_adpr.msbio	P02765	197	0	0	39	2.02564102564103	2.02564102564103	1	1	AHSG
AK2	Adenylate kinase 2, mitochondrial OS=Homo sapiens GN=AK2 PE=1 SV=2	sp|P54819|KAD2_HUMAN	26 kDa	0	4	skmes_adpr.msbio	P54819	204	4	1	26	0.0384615384615385	4.03846153846154	105	401	AK2
AKAP12	A-kinase anchor protein 12 OS=Homo sapiens GN=AKAP12 PE=1 SV=4	sp|Q02952|AKA12_HUMAN	191 kDa	0	3	skmes_adpr.msbio	Q02952	9590	3	1	191	0.00523560209424084	3.00523560209424	574	301	AKAP12
AKAP13	A-kinase anchor protein 13 OS=Homo sapiens GN=AKAP13 PE=1 SV=2	sp|Q12802|AKP13_HUMAN	308 kDa	126	162	skmes_adpr.msbio	Q12802	11214	36	0.222222222222222	308	126.003246753247	162.003246753247	1.28570692365173	1.28569161177684	AKAP13
AKAP9	A-kinase anchor protein 9 OS=Homo sapiens GN=AKAP9 PE=1 SV=3	sp|Q99996|AKAP9_HUMAN	454 kDa	52	90	skmes_adpr.msbio	Q99996	10142	38	0.422222222222222	454	52.0022026431718	90.0022026431718	1.73073827777542	1.73062872524515	AKAP9
AKR1C3	Aldo-keto reductase family 1 member C3 OS=Homo sapiens GN=AKR1C3 PE=1 SV=4	sp|P42330|AK1C3_HUMAN (+1)	37 kDa	2	2	skmes_adpr.msbio	P42330	8644	0	0	37	2.02702702702703	2.02702702702703	1	1	AKR1C3
ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2	sp|P54886|P5CS_HUMAN	87 kDa	5	6	skmes_adpr.msbio	P54886	5832	1	0.166666666666667	87	5.01149425287356	6.01149425287356	1.19954128440367	1.19960079840319	ALDH18A1
ALDOA	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	sp|P04075|ALDOA_HUMAN	39 kDa	7	75	skmes_adpr.msbio	P04075	226	68	0.906666666666667	39	7.02564102564103	75.025641025641	10.6788321167883	10.7004279600571	ALDOA
ALDOC	Fructose-bisphosphate aldolase C OS=Homo sapiens GN=ALDOC PE=1 SV=2	sp|P09972|ALDOC_HUMAN	39 kDa	0	6	skmes_adpr.msbio	P09972	230	6	1	39	0.0256410256410256	6.02564102564103	235	601	ALDOC
ALG5	Dolichyl-phosphate beta-glucosyltransferase OS=Homo sapiens GN=ALG5 PE=1 SV=1	sp|Q9Y673|ALG5_HUMAN	37 kDa	0	2	skmes_adpr.msbio	Q9Y673	29880	2	1	37	0.027027027027027	2.02702702702703	75	201	ALG5
ALOX12B	Arachidonate 12-lipoxygenase, 12R-type OS=Homo sapiens GN=ALOX12B PE=1 SV=1	sp|O75342|LX12B_HUMAN	80 kDa	2	3	skmes_adpr.msbio	O75342	242	1	0.333333333333333	80	2.0125	3.0125	1.49689440993789	1.49751243781095	ALOX12B
ANAPC10	Anaphase-promoting complex subunit 10 OS=Homo sapiens GN=ANAPC10 PE=1 SV=1	sp|Q9UM13|APC10_HUMAN	21 kDa	2	0	skmes_adpr.msbio	Q9UM13	10393	-2	-1	21	2.04761904761905	0.0476190476190476	0.0232558139534884	0.00497512437810945	ANAPC10
ANKHD1	Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=1 SV=1	sp|Q8IWZ3|ANKH1_HUMAN	269 kDa	4	2	skmes_adpr.msbio	Q8IWZ3	54882	-2	-0.5	269	4.00371747211896	2.00371747211896	0.500464252553389	0.501246882793017	ANKHD1
ANLN	Anillin OS=Homo sapiens GN=ANLN PE=1 SV=2	sp|Q9NQW6|ANLN_HUMAN	124 kDa	12	10	skmes_adpr.msbio	Q9NQW6	54443	-2	-0.166666666666667	124	12.008064516129	10.008064516129	0.833445265278711	0.833472106577852	ANLN
ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens GN=ANP32A PE=1 SV=1	sp|P39687|AN32A_HUMAN	29 kDa	0	2	skmes_adpr.msbio	P39687	8125	2	1	29	0.0344827586206897	2.03448275862069	59	201	ANP32A
ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens GN=ANP32B PE=1 SV=1	sp|Q92688|AN32B_HUMAN	29 kDa	0	3	skmes_adpr.msbio	Q92688	10541	3	1	29	0.0344827586206897	3.03448275862069	88	301	ANP32B
ANPEP	Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4	sp|P15144|AMPN_HUMAN	110 kDa	5	4	skmes_adpr.msbio	P15144	290	-1	-0.2	110	5.00909090909091	4.00909090909091	0.800362976406534	0.800399201596806	ANPEP
ANXA1	Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2	sp|P04083|ANXA1_HUMAN	39 kDa	7	8	skmes_adpr.msbio	P04083	301	1	0.125	39	7.02564102564103	8.02564102564103	1.14233576642336	1.14265335235378	ANXA1
ANXA11	Annexin A11 OS=Homo sapiens GN=ANXA11 PE=1 SV=1	sp|P50995|ANX11_HUMAN	54 kDa	2	4	skmes_adpr.msbio	P50995	311	2	0.5	54	2.01851851851852	4.01851851851852	1.99082568807339	1.99502487562189	ANXA11
ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	sp|P07355|ANXA2_HUMAN	39 kDa	22	21	skmes_adpr.msbio	P07355	302	-1	-0.0454545454545455	39	22.025641025641	21.025641025641	0.954598370197904	0.954566106315311	ANXA2
ANXA4	Annexin A4 OS=Homo sapiens GN=ANXA4 PE=1 SV=4	sp|P09525|ANXA4_HUMAN	36 kDa	0	16	skmes_adpr.msbio	P09525	307	16	1	36	0.0277777777777778	16.0277777777778	577	1601	ANXA4
ANXA5	Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2	sp|P08758|ANXA5_HUMAN	36 kDa	0	12	skmes_adpr.msbio	P08758	308	12	1	36	0.0277777777777778	12.0277777777778	433	1201	ANXA5
AP1B1	AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2	sp|Q10567|AP1B1_HUMAN	105 kDa	0	9	skmes_adpr.msbio	Q10567	162	9	1	105	0.00952380952380952	9.00952380952381	946	901	AP1B1
AP1G1	AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5	sp|O43747|AP1G1_HUMAN	91 kDa	2	6	skmes_adpr.msbio	O43747	164	4	0.666666666666667	91	2.01098901098901	6.01098901098901	2.98907103825137	2.99004975124378	AP1G1
AP2A1	AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3	sp|O95782|AP2A1_HUMAN	108 kDa	16	27	skmes_adpr.msbio	O95782	160	11	0.407407407407407	108	16.0092592592593	27.0092592592593	1.6871023713129	1.68707058088695	AP2A1
AP2B1	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	sp|P63010|AP2B1_HUMAN	105 kDa	27	36	skmes_adpr.msbio	P63010	163	9	0.25	105	27.0095238095238	36.0095238095238	1.33321579689704	1.33320992225102	AP2B1
AP2M1	AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2	sp|Q96CW1|AP2M1_HUMAN	50 kDa	7	11	skmes_adpr.msbio	Q96CW1	1173	4	0.363636363636364	50	7.02	11.02	1.56980056980057	1.57061340941512	AP2M1
AP2S1	AP-2 complex subunit sigma OS=Homo sapiens GN=AP2S1 PE=1 SV=2	sp|P53680|AP2S1_HUMAN	17 kDa	2	2	skmes_adpr.msbio	P53680	1175	0	0	17	2.05882352941176	2.05882352941176	1	1	AP2S1
AP3B1	AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3	sp|O00203|AP3B1_HUMAN	121 kDa	64	67	skmes_adpr.msbio	O00203	8546	3	0.0447761194029851	121	64.0082644628099	67.0082644628099	1.0468689477082	1.04686767692548	AP3B1
AP3D1	AP-3 complex subunit delta-1 OS=Homo sapiens GN=AP3D1 PE=1 SV=1	sp|O14617|AP3D1_HUMAN	130 kDa	52	62	skmes_adpr.msbio	O14617	8943	10	0.161290322580645	130	52.0076923076923	62.0076923076923	1.19227924863186	1.19227071716978	AP3D1
AP3M1	AP-3 complex subunit mu-1 OS=Homo sapiens GN=AP3M1 PE=1 SV=1	sp|Q9Y2T2|AP3M1_HUMAN	47 kDa	4	14	skmes_adpr.msbio	Q9Y2T2	26985	10	0.714285714285714	47	4.02127659574468	14.0212765957447	3.48677248677249	3.49376558603491	AP3M1
AP3S1	AP-3 complex subunit sigma-1 OS=Homo sapiens GN=AP3S1 PE=1 SV=1	sp|Q92572|AP3S1_HUMAN	22 kDa	16	17	skmes_adpr.msbio	Q92572	1176	1	0.0588235294117647	22	16.0454545454545	17.0454545454545	1.06232294617564	1.06246096189881	AP3S1
AP3S2	AP-3 complex subunit sigma-2 OS=Homo sapiens GN=AP3S2 PE=2 SV=1	sp|P59780|AP3S2_HUMAN	22 kDa	2	5	skmes_adpr.msbio	P59780	10239	3	0.6	22	2.04545454545455	5.04545454545455	2.46666666666667	2.49253731343284	AP3S2
APEX1	DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens GN=APEX1 PE=1 SV=2	sp|P27695|APEX1_HUMAN	36 kDa	0	2	skmes_adpr.msbio	P27695	328	2	1	36	0.0277777777777778	2.02777777777778	73	201	APEX1
APMAP	Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP PE=1 SV=2	sp|Q9HDC9|APMAP_HUMAN	46 kDa	3	5	skmes_adpr.msbio	Q9HDC9	57136	2	0.4	46	3.02173913043478	5.02173913043478	1.66187050359712	1.66445182724253	APMAP
APOL2	Apolipoprotein L2 OS=Homo sapiens GN=APOL2 PE=1 SV=1	sp|Q9BQE5|APOL2_HUMAN	37 kDa	2	0	skmes_adpr.msbio	Q9BQE5	23780	-2	-1	37	2.02702702702703	0.027027027027027	0.0133333333333333	0.00497512437810945	APOL2
APOOL	MICOS complex subunit MIC27 OS=Homo sapiens GN=APOOL PE=1 SV=1	sp|Q6UXV4|MIC27_HUMAN	29 kDa	0	2	skmes_adpr.msbio	Q6UXV4	139322	2	1	29	0.0344827586206897	2.03448275862069	59	201	APOOL
ARAP1	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=1 SV=3	sp|Q96P48|ARAP1_HUMAN	162 kDa	2	3	skmes_adpr.msbio	Q96P48	116985	1	0.333333333333333	162	2.00617283950617	3.00617283950617	1.49846153846154	1.49751243781095	ARAP1
ARAP2	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=ARAP2 PE=1 SV=3	sp|Q8WZ64|ARAP2_HUMAN	193 kDa	0	6	skmes_adpr.msbio	Q8WZ64	116984	6	1	193	0.00518134715025907	6.00518134715026	1159	601	ARAP2
ARCN1	Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1	sp|P48444|COPD_HUMAN	57 kDa	0	3	skmes_adpr.msbio	P48444	372	3	1	57	0.0175438596491228	3.01754385964912	172	301	ARCN1
ARF3	ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=1 SV=2	sp|P61204|ARF3_HUMAN (+1)	21 kDa	23	28	skmes_adpr.msbio	P61204	377	5	0.178571428571429	21	23.047619047619	28.047619047619	1.21694214876033	1.21729682746632	ARF3
ARF4	ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3	sp|P18085|ARF4_HUMAN	21 kDa	11	12	skmes_adpr.msbio	P18085	378	1	0.0833333333333333	21	11.047619047619	12.047619047619	1.09051724137931	1.09082652134423	ARF4
ARF6	ADP-ribosylation factor 6 OS=Homo sapiens GN=ARF6 PE=1 SV=2	sp|P62330|ARF6_HUMAN	20 kDa	0	8	skmes_adpr.msbio	P62330	382	8	1	20	0.05	8.05	161	801	ARF6
ARG1	Arginase-1 OS=Homo sapiens GN=ARG1 PE=1 SV=2	sp|P05089|ARGI1_HUMAN	35 kDa	7	8	skmes_adpr.msbio	P05089	383	1	0.125	35	7.02857142857143	8.02857142857143	1.14227642276423	1.14265335235378	ARG1
ARGLU1	Arginine and glutamate-rich protein 1 OS=Homo sapiens GN=ARGLU1 PE=1 SV=1	sp|Q9NWB6|ARGL1_HUMAN	33 kDa	0	3	skmes_adpr.msbio	Q9NWB6	55082	3	1	33	0.0303030303030303	3.03030303030303	100	301	ARGLU1
ARHGAP19	Rho GTPase-activating protein 19 OS=Homo sapiens GN=ARHGAP19 PE=1 SV=1	sp|Q14CB8|RHG19_HUMAN	56 kDa	2	0	skmes_adpr.msbio	Q14CB8	84986	-2	-1	56	2.01785714285714	0.0178571428571429	0.00884955752212389	0.00497512437810945	ARHGAP19
ARHGAP5	Rho GTPase-activating protein 5 OS=Homo sapiens GN=ARHGAP5 PE=1 SV=2	sp|Q13017|RHG05_HUMAN	172 kDa	16	12	skmes_adpr.msbio	Q13017	394	-4	-0.25	172	16.0058139534884	12.0058139534884	0.750090810025427	0.750156152404747	ARHGAP5
ARHGDIA	Rho GDP-dissociation inhibitor 1 OS=Homo sapiens GN=ARHGDIA PE=1 SV=3	sp|P52565|GDIR1_HUMAN	23 kDa	0	3	skmes_adpr.msbio	P52565	396	3	1	23	0.0434782608695652	3.04347826086957	70	301	ARHGDIA
ARHGDIB	Rho GDP-dissociation inhibitor 2 OS=Homo sapiens GN=ARHGDIB PE=1 SV=3	sp|P52566|GDIR2_HUMAN	23 kDa	0	18	skmes_adpr.msbio	P52566	397	18	1	23	0.0434782608695652	18.0434782608696	415	1801	ARHGDIB
ARHGEF2	Rho guanine nucleotide exchange factor 2 OS=Homo sapiens GN=ARHGEF2 PE=1 SV=4	sp|Q92974|ARHG2_HUMAN	112 kDa	15	14	skmes_adpr.msbio	Q92974	9181	-1	-0.0666666666666667	112	15.0089285714286	14.0089285714286	0.933372992266508	0.933377748167888	ARHGEF2
ARHGEF28	Rho guanine nucleotide exchange factor 28 OS=Homo sapiens GN=ARHGEF28 PE=1 SV=3	sp|Q8N1W1|ARG28_HUMAN	192 kDa	49	52	skmes_adpr.msbio	Q8N1W1	64283	3	0.0576923076923077	192	49.0052083333333	52.0052083333333	1.06121798278244	1.06121199755152	ARHGEF28
ARL1	ADP-ribosylation factor-like protein 1 OS=Homo sapiens GN=ARL1 PE=1 SV=1	sp|P40616|ARL1_HUMAN	20 kDa	4	6	skmes_adpr.msbio	P40616	400	2	0.333333333333333	20	4.05	6.05	1.49382716049383	1.49875311720698	ARL1
ARL4C	ADP-ribosylation factor-like protein 4C OS=Homo sapiens GN=ARL4C PE=1 SV=1	sp|P56559|ARL4C_HUMAN	21 kDa	0	5	skmes_adpr.msbio	P56559	10123	5	1	21	0.0476190476190476	5.04761904761905	106	501	ARL4C
ARL8B	ADP-ribosylation factor-like protein 8B OS=Homo sapiens GN=ARL8B PE=1 SV=1	sp|Q9NVJ2|ARL8B_HUMAN	22 kDa	3	4	skmes_adpr.msbio	Q9NVJ2	55207	1	0.25	22	3.04545454545455	4.04545454545455	1.32835820895522	1.33222591362126	ARL8B
ARPC2	Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1	sp|O15144|ARPC2_HUMAN	34 kDa	0	13	skmes_adpr.msbio	O15144	10109	13	1	34	0.0294117647058824	13.0294117647059	443	1301	ARPC2
ARPC3	Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3	sp|O15145|ARPC3_HUMAN	21 kDa	0	7	skmes_adpr.msbio	O15145	10094	7	1	21	0.0476190476190476	7.04761904761905	148	701	ARPC3
ARPC4	Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=1 SV=3	sp|P59998|ARPC4_HUMAN	20 kDa	0	28	skmes_adpr.msbio	P59998	10093	28	1	20	0.05	28.05	561	2801	ARPC4
ARPC5	Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3	sp|O15511|ARPC5_HUMAN	16 kDa	0	2	skmes_adpr.msbio	O15511	10092	2	1	16	0.0625	2.0625	33	201	ARPC5
ASCC3	Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3 PE=1 SV=3	sp|Q8N3C0|ASCC3_HUMAN	251 kDa	2	0	skmes_adpr.msbio	Q8N3C0	10973	-2	-1	251	2.00398406374502	0.00398406374501992	0.00198807157057654	0.00497512437810945	ASCC3
ASF1A	Histone chaperone ASF1A OS=Homo sapiens GN=ASF1A PE=1 SV=1	sp|Q9Y294|ASF1A_HUMAN	23 kDa	0	2	skmes_adpr.msbio	Q9Y294	25842	2	1	23	0.0434782608695652	2.04347826086957	47	201	ASF1A
ASPH	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3	sp|Q12797|ASPH_HUMAN	86 kDa	19	26	skmes_adpr.msbio	Q12797	444	7	0.269230769230769	86	19.0116279069767	26.0116279069767	1.36819571865443	1.36822724881641	ASPH
ASPM	Abnormal spindle-like microcephaly-associated protein OS=Homo sapiens GN=ASPM PE=1 SV=2	sp|Q8IZT6|ASPM_HUMAN	410 kDa	2	0	skmes_adpr.msbio	Q8IZT6	259266	-2	-1	410	2.00243902439024	0.0024390243902439	0.00121802679658952	0.00497512437810945	ASPM
ATL3	Atlastin-3 OS=Homo sapiens GN=ATL3 PE=1 SV=1	sp|Q6DD88|ATLA3_HUMAN	61 kDa	2	0	skmes_adpr.msbio	Q6DD88	25923	-2	-1	61	2.01639344262295	0.0163934426229508	0.00813008130081301	0.00497512437810945	ATL3
ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1	sp|P05023|AT1A1_HUMAN	113 kDa	24	11	skmes_adpr.msbio	P05023	476	-13	-0.541666666666667	113	24.0088495575221	11.0088495575221	0.458532989310726	0.458558933777593	ATP1A1
ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens GN=ATP1B1 PE=1 SV=1	sp|P05026|AT1B1_HUMAN	35 kDa	2	0	skmes_adpr.msbio	P05026	481	-2	-1	35	2.02857142857143	0.0285714285714286	0.0140845070422535	0.00497512437810945	ATP1B1
ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1	sp|P16615|AT2A2_HUMAN	115 kDa	2	0	skmes_adpr.msbio	P16615	488	-2	-1	115	2.00869565217391	0.00869565217391304	0.00432900432900433	0.00497512437810945	ATP2A2
ATP2B4	Plasma membrane calcium-transporting ATPase 4 OS=Homo sapiens GN=ATP2B4 PE=1 SV=2	sp|P23634|AT2B4_HUMAN	138 kDa	8	8	skmes_adpr.msbio	P23634	493	0	0	138	8.00724637681159	8.00724637681159	1	1	ATP2B4
ATP5A1	ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1	sp|P25705|ATPA_HUMAN	60 kDa	19	13	skmes_adpr.msbio	P25705	498	-6	-0.315789473684211	60	19.0166666666667	13.0166666666667	0.684487291849255	0.684376643871646	ATP5F1A
ATP5B	ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3	sp|P06576|ATPB_HUMAN	57 kDa	12	6	skmes_adpr.msbio	P06576	506	-6	-0.5	57	12.0175438596491	6.01754385964912	0.500729927007299	0.500416319733555	ATP5F1B
ATP5C1	ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1	sp|P36542|ATPG_HUMAN	33 kDa	17	19	skmes_adpr.msbio	P36542	509	2	0.105263157894737	33	17.030303030303	19.030303030303	1.11743772241993	1.11757789535567	ATP5F1C
ATP5F1	ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2	sp|P24539|AT5F1_HUMAN	29 kDa	2	4	skmes_adpr.msbio	P24539	515	2	0.5	29	2.03448275862069	4.03448275862069	1.98305084745763	1.99502487562189	ATP5PB
ATP5H	ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3	sp|O75947|ATP5H_HUMAN	18 kDa	2	2	skmes_adpr.msbio	O75947	10476	0	0	18	2.05555555555556	2.05555555555556	1	1	ATP5PD
ATP5O	ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1	sp|P48047|ATPO_HUMAN	23 kDa	8	8	skmes_adpr.msbio	P48047	539	0	0	23	8.04347826086956	8.04347826086956	1	1	ATP5PO
