genename	protein_desc	Accession_Number	Molecular_Weight	SKMES1.PARP14m3.DMSO_SpC	SKMES1.PARP14m3.RBN011364_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
AKR1C1	Aldo-keto reductase family 1 member C1 OS=Homo sapiens GN=AKR1C1 PE=1 SV=1	sp|Q04828|AK1C1_HUMAN	37 kDa	13	20	skmes_parp14m3.adpr.msbio	Q04828	1645	7	0.35	37	13.027027027027	20.027027027027	1.53734439834025	1.5380476556495	AKR1C1
ALDH3A2	Fatty aldehyde dehydrogenase OS=Homo sapiens GN=ALDH3A2 PE=1 SV=1	sp|P51648|AL3A2_HUMAN	55 kDa	0	2	skmes_parp14m3.adpr.msbio	P51648	224	2	1	55	0.0181818181818182	2.01818181818182	111	201	ALDH3A2
ALDOA	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	sp|P04075|ALDOA_HUMAN	39 kDa	4	0	skmes_parp14m3.adpr.msbio	P04075	226	-4	-1	39	4.02564102564103	0.0256410256410256	0.00636942675159236	0.00249376558603491	ALDOA
ALG5	Dolichyl-phosphate beta-glucosyltransferase OS=Homo sapiens GN=ALG5 PE=1 SV=1	sp|Q9Y673|ALG5_HUMAN	37 kDa	5	6	skmes_parp14m3.adpr.msbio	Q9Y673	29880	1	0.166666666666667	37	5.02702702702703	6.02702702702703	1.1989247311828	1.19960079840319	ALG5
ALOX12B	Arachidonate 12-lipoxygenase, 12R-type OS=Homo sapiens GN=ALOX12B PE=1 SV=1	sp|O75342|LX12B_HUMAN	80 kDa	4	0	skmes_parp14m3.adpr.msbio	O75342	242	-4	-1	80	4.0125	0.0125	0.00311526479750779	0.00249376558603491	ALOX12B
ALYREF	THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3	sp|Q86V81|THOC4_HUMAN	27 kDa	23	19	skmes_parp14m3.adpr.msbio	Q86V81	10189	-4	-0.173913043478261	27	23.037037037037	19.037037037037	0.826366559485531	0.826162538026945	ALYREF
ANKRD26	Ankyrin repeat domain-containing protein 26 OS=Homo sapiens GN=ANKRD26 PE=1 SV=3	sp|Q9UPS8|ANR26_HUMAN	196 kDa	8	3	skmes_parp14m3.adpr.msbio	Q9UPS8	22852	-5	-0.625	196	8.00510204081633	3.00510204081633	0.375398342893563	0.375780274656679	ANKRD26
ANXA1	Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2	sp|P04083|ANXA1_HUMAN	39 kDa	14	0	skmes_parp14m3.adpr.msbio	P04083	301	-14	-1	39	14.025641025641	0.0256410256410256	0.00182815356489945	0.000713775874375446	ANXA1
ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	sp|P07355|ANXA2_HUMAN	39 kDa	34	6	skmes_parp14m3.adpr.msbio	P07355	302	-28	-0.823529411764706	39	34.025641025641	6.02564102564103	0.177091183119819	0.176712731549544	ANXA2
ANXA4	Annexin A4 OS=Homo sapiens GN=ANXA4 PE=1 SV=4	sp|P09525|ANXA4_HUMAN	36 kDa	2	0	skmes_parp14m3.adpr.msbio	P09525	307	-2	-1	36	2.02777777777778	0.0277777777777778	0.0136986301369863	0.00497512437810945	ANXA4
AP2A1	AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3	sp|O95782|AP2A1_HUMAN	108 kDa	11	3	skmes_parp14m3.adpr.msbio	O95782	160	-8	-0.727272727272727	108	11.0092592592593	3.00925925925926	0.273338940285955	0.27338782924614	AP2A1
AP2B1	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	sp|P63010|AP2B1_HUMAN	105 kDa	9	3	skmes_parp14m3.adpr.msbio	P63010	163	-6	-0.666666666666667	105	9.00952380952381	3.00952380952381	0.334038054968288	0.334073251942286	AP2B1
AP3B1	AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3	sp|O00203|AP3B1_HUMAN	121 kDa	0	4	skmes_parp14m3.adpr.msbio	O00203	8546	4	1	121	0.00826446280991736	4.00826446280992	485	401	AP3B1
APOD	Apolipoprotein D OS=Homo sapiens GN=APOD PE=1 SV=1	sp|P05090|APOD_HUMAN	21 kDa	9	10	skmes_parp14m3.adpr.msbio	P05090	347	1	0.1	21	9.04761904761905	10.047619047619	1.11052631578947	1.11098779134295	APOD
APOH	Beta-2-glycoprotein 1 OS=Homo sapiens GN=APOH PE=1 SV=3	sp|P02749|APOH_HUMAN	38 kDa	5	0	skmes_parp14m3.adpr.msbio	P02749	350	-5	-1	38	5.02631578947368	0.0263157894736842	0.00523560209424084	0.00199600798403194	APOH
ARAP1	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=1 SV=3	sp|Q96P48|ARAP1_HUMAN	162 kDa	2	0	skmes_parp14m3.adpr.msbio	Q96P48	116985	-2	-1	162	2.00617283950617	0.00617283950617284	0.00307692307692308	0.00497512437810945	ARAP1
ARCN1	Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1	sp|P48444|COPD_HUMAN	57 kDa	2	2	skmes_parp14m3.adpr.msbio	P48444	372	0	0	57	2.01754385964912	2.01754385964912	1	1	ARCN1
ARF6	ADP-ribosylation factor 6 OS=Homo sapiens GN=ARF6 PE=1 SV=2	sp|P62330|ARF6_HUMAN	20 kDa	5	0	skmes_parp14m3.adpr.msbio	P62330	382	-5	-1	20	5.05	0.05	0.0099009900990099	0.00199600798403194	ARF6
ARGLU1	Arginine and glutamate-rich protein 1 OS=Homo sapiens GN=ARGLU1 PE=1 SV=1	sp|Q9NWB6|ARGL1_HUMAN	33 kDa	28	29	skmes_parp14m3.adpr.msbio	Q9NWB6	55082	1	0.0344827586206897	33	28.030303030303	29.030303030303	1.03567567567568	1.03570153516601	ARGLU1
ARHGEF17	Rho guanine nucleotide exchange factor 17 OS=Homo sapiens GN=ARHGEF17 PE=1 SV=1	sp|Q96PE2|ARHGH_HUMAN	222 kDa	23	25	skmes_parp14m3.adpr.msbio	Q96PE2	9828	2	0.08	222	23.0045045045045	25.0045045045045	1.08693949481104	1.08691873098653	ARHGEF17
ARHGEF2	Rho guanine nucleotide exchange factor 2 OS=Homo sapiens GN=ARHGEF2 PE=1 SV=4	sp|Q92974|ARHG2_HUMAN	112 kDa	11	12	skmes_parp14m3.adpr.msbio	Q92974	9181	1	0.0833333333333333	112	11.0089285714286	12.0089285714286	1.09083536090835	1.09082652134423	ARHGEF2
ARHGEF5	Rho guanine nucleotide exchange factor 5 OS=Homo sapiens GN=ARHGEF5 PE=1 SV=3	sp|Q12774|ARHG5_HUMAN	177 kDa	3	7	skmes_parp14m3.adpr.msbio	Q12774	7984	4	0.571428571428571	177	3.00564971751412	7.00564971751412	2.33082706766917	2.32890365448505	ARHGEF5
ARNT	Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens GN=ARNT PE=1 SV=1	sp|P27540|ARNT_HUMAN	87 kDa	2	0	skmes_parp14m3.adpr.msbio	P27540	405	-2	-1	87	2.01149425287356	0.0114942528735632	0.00571428571428571	0.00497512437810945	ARNT
ASPH	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3	sp|Q12797|ASPH_HUMAN	86 kDa	12	9	skmes_parp14m3.adpr.msbio	Q12797	444	-3	-0.25	86	12.0116279069767	9.01162790697674	0.750242013552759	0.750208159866778	ASPH
ATAD3A	ATPase family AAA domain-containing protein 3A OS=Homo sapiens GN=ATAD3A PE=1 SV=2	sp|Q9NVI7|ATD3A_HUMAN	71 kDa	2	2	skmes_parp14m3.adpr.msbio	Q9NVI7	55210	0	0	71	2.01408450704225	2.01408450704225	1	1	ATAD3A
ATAT1	Alpha-tubulin N-acetyltransferase 1 OS=Homo sapiens GN=ATAT1 PE=1 SV=1	sp|Q5SQI0|ATAT_HUMAN	47 kDa	8	10	skmes_parp14m3.adpr.msbio	Q5SQI0	79969	2	0.2	47	8.02127659574468	10.0212765957447	1.24933687002653	1.24968789013733	ATAT1
ATG2A	Autophagy-related protein 2 homolog A OS=Homo sapiens GN=ATG2A PE=1 SV=3	sp|Q2TAZ0|ATG2A_HUMAN	213 kDa	5	0	skmes_parp14m3.adpr.msbio	Q2TAZ0	23130	-5	-1	213	5.00469483568075	0.00469483568075117	0.000938086303939962	0.00199600798403194	ATG2A
ATG2B	Autophagy-related protein 2 homolog B OS=Homo sapiens GN=ATG2B PE=1 SV=5	sp|Q96BY7|ATG2B_HUMAN	233 kDa	2	0	skmes_parp14m3.adpr.msbio	Q96BY7	55102	-2	-1	233	2.00429184549356	0.00429184549356223	0.00214132762312634	0.00497512437810945	ATG2B
ATP5A1	ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1	sp|P25705|ATPA_HUMAN	60 kDa	10	11	skmes_parp14m3.adpr.msbio	P25705	498	1	0.0909090909090909	60	10.0166666666667	11.0166666666667	1.09983361064892	1.0999000999001	ATP5F1A
ATP5C1	ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1	sp|P36542|ATPG_HUMAN	33 kDa	6	3	skmes_parp14m3.adpr.msbio	P36542	509	-3	-0.5	33	6.03030303030303	3.03030303030303	0.50251256281407	0.500831946755408	ATP5F1C
ATP5I	ATP synthase subunit e, mitochondrial OS=Homo sapiens GN=ATP5I PE=1 SV=2	sp|P56385|ATP5I_HUMAN	8 kDa	3	0	skmes_parp14m3.adpr.msbio	P56385	521	-3	-1	8	3.125	0.125	0.04	0.00332225913621263	ATP5ME
ATP5J2	ATP synthase subunit f, mitochondrial OS=Homo sapiens GN=ATP5J2 PE=1 SV=3	sp|P56134|ATPK_HUMAN	11 kDa	5	5	skmes_parp14m3.adpr.msbio	P56134	9551	0	0	11	5.09090909090909	5.09090909090909	1	1	ATP5MF
ATP5L	ATP synthase subunit g, mitochondrial OS=Homo sapiens GN=ATP5L PE=1 SV=3	sp|O75964|ATP5L_HUMAN	11 kDa	6	2	skmes_parp14m3.adpr.msbio	O75964	10632	-4	-0.666666666666667	11	6.09090909090909	2.09090909090909	0.343283582089552	0.334442595673877	ATP5MG
ATP5O	ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1	sp|P48047|ATPO_HUMAN	23 kDa	22	19	skmes_parp14m3.adpr.msbio	P48047	539	-3	-0.136363636363636	23	22.0434782608696	19.0434782608696	0.863905325443787	0.863698318945934	ATP5PO
ATPIF1	ATPase inhibitor, mitochondrial OS=Homo sapiens GN=ATPIF1 PE=1 SV=1	sp|Q9UII2|ATIF1_HUMAN	12 kDa	6	7	skmes_parp14m3.adpr.msbio	Q9UII2	93974	1	0.142857142857143	12	6.08333333333333	7.08333333333333	1.16438356164384	1.16638935108153	ATP5IF1
ATXN2	Ataxin-2 OS=Homo sapiens GN=ATXN2 PE=1 SV=2	sp|Q99700|ATX2_HUMAN	140 kDa	40	56	skmes_parp14m3.adpr.msbio	Q99700	6311	16	0.285714285714286	140	40.0071428571429	56.0071428571429	1.3999285841814	1.39990002499375	ATXN2
ATXN2L	Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L PE=1 SV=2	sp|Q8WWM7|ATX2L_HUMAN	113 kDa	63	67	skmes_parp14m3.adpr.msbio	Q8WWM7	11273	4	0.0597014925373134	113	63.0088495575221	67.0088495575221	1.06348314606742	1.06348198698619	ATXN2L
AURKA	Aurora kinase A OS=Homo sapiens GN=AURKA PE=1 SV=2	sp|O14965|AURKA_HUMAN	46 kDa	7	11	skmes_parp14m3.adpr.msbio	O14965	6790	4	0.363636363636364	46	7.02173913043478	11.0217391304348	1.56965944272446	1.57061340941512	AURKA
AURKB	Aurora kinase B OS=Homo sapiens GN=AURKB PE=1 SV=3	sp|Q96GD4|AURKB_HUMAN	39 kDa	3	0	skmes_parp14m3.adpr.msbio	Q96GD4	9212	-3	-1	39	3.02564102564103	0.0256410256410256	0.00847457627118644	0.00332225913621263	AURKB
AVEN	Cell death regulator Aven OS=Homo sapiens GN=AVEN PE=1 SV=1	sp|Q9NQS1|AVEN_HUMAN	39 kDa	15	16	skmes_parp14m3.adpr.msbio	Q9NQS1	57099	1	0.0625	39	15.025641025641	16.025641025641	1.06655290102389	1.06662225183211	AVEN
AZGP1	Zinc-alpha-2-glycoprotein OS=Homo sapiens GN=AZGP1 PE=1 SV=2	sp|P25311|ZA2G_HUMAN	34 kDa	20	0	skmes_parp14m3.adpr.msbio	P25311	563	-20	-1	34	20.0294117647059	0.0294117647058824	0.00146842878120411	0.000499750124937531	AZGP1
BAG2	BAG family molecular chaperone regulator 2 OS=Homo sapiens GN=BAG2 PE=1 SV=1	sp|O95816|BAG2_HUMAN	24 kDa	9	6	skmes_parp14m3.adpr.msbio	O95816	9532	-3	-0.333333333333333	24	9.04166666666667	6.04166666666667	0.668202764976959	0.667036625971143	BAG2
BAG6	Large proline-rich protein BAG6 OS=Homo sapiens GN=BAG6 PE=1 SV=2	sp|P46379|BAG6_HUMAN	119 kDa	3	0	skmes_parp14m3.adpr.msbio	P46379	7917	-3	-1	119	3.00840336134454	0.00840336134453781	0.00279329608938547	0.00332225913621263	BAG6
BANF1	Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1	sp|O75531|BAF_HUMAN	10 kDa	0	4	skmes_parp14m3.adpr.msbio	O75531	8815	4	1	10	0.1	4.1	41	401	BANF1
BCAP31	B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3	sp|P51572|BAP31_HUMAN	28 kDa	2	5	skmes_parp14m3.adpr.msbio	P51572	10134	3	0.6	28	2.03571428571429	5.03571428571429	2.47368421052632	2.49253731343284	BCAP31
BCL9L	B-cell CLL/lymphoma 9-like protein OS=Homo sapiens GN=BCL9L PE=1 SV=1	sp|Q86UU0|BCL9L_HUMAN	157 kDa	3	14	skmes_parp14m3.adpr.msbio	Q86UU0	283149	11	0.785714285714286	157	3.00636942675159	14.0063694267516	4.65889830508474	4.65448504983389	BCL9L
BCLAF1	Bcl-2-associated transcription factor 1 OS=Homo sapiens GN=BCLAF1 PE=1 SV=2	sp|Q9NYF8|BCLF1_HUMAN	106 kDa	52	64	skmes_parp14m3.adpr.msbio	Q9NYF8	9774	12	0.1875	106	52.0094339622642	64.0094339622642	1.23072737166697	1.23072486060373	BCLAF1
BLMH	Bleomycin hydrolase OS=Homo sapiens GN=BLMH PE=1 SV=1	sp|Q13867|BLMH_HUMAN	53 kDa	2	0	skmes_parp14m3.adpr.msbio	Q13867	642	-2	-1	53	2.0188679245283	0.0188679245283019	0.00934579439252336	0.00497512437810945	BLMH
BRAT1	BRCA1-associated ATM activator 1 OS=Homo sapiens GN=BRAT1 PE=1 SV=2	sp|Q6PJG6|BRAT1_HUMAN	88 kDa	22	0	skmes_parp14m3.adpr.msbio	Q6PJG6	221927	-22	-1	88	22.0113636363636	0.0113636363636364	0.000516262261228704	0.000454338936846888	BRAT1
BTAF1	TATA-binding protein-associated factor 172 OS=Homo sapiens GN=BTAF1 PE=1 SV=2	sp|O14981|BTAF1_HUMAN	207 kDa	10	12	skmes_parp14m3.adpr.msbio	O14981	9044	2	0.166666666666667	207	10.0048309178744	12.0048309178744	1.19990342829551	1.1998001998002	BTAF1
BUD23	Probable 18S rRNA (guanine-N(7))-methyltransferase OS=Homo sapiens GN=BUD23 PE=1 SV=2	sp|O43709|BUD23_HUMAN	32 kDa	3	0	skmes_parp14m3.adpr.msbio	O43709	114049	-3	-1	32	3.03125	0.03125	0.0103092783505155	0.00332225913621263	BUD23
BUD31	Protein BUD31 homolog OS=Homo sapiens GN=BUD31 PE=1 SV=2	sp|P41223|BUD31_HUMAN	17 kDa	6	5	skmes_parp14m3.adpr.msbio	P41223	8896	-1	-0.166666666666667	17	6.05882352941176	5.05882352941176	0.83495145631068	0.833610648918469	BUD31
BZW2	Basic leucine zipper and W2 domain-containing protein 2 OS=Homo sapiens GN=BZW2 PE=1 SV=1	sp|Q9Y6E2|BZW2_HUMAN	48 kDa	5	5	skmes_parp14m3.adpr.msbio	Q9Y6E2	28969	0	0	48	5.02083333333333	5.02083333333333	1	1	BZW2
C15orf39	Uncharacterized protein C15orf39 OS=Homo sapiens GN=C15orf39 PE=1 SV=3	sp|Q6ZRI6|CO039_HUMAN	111 kDa	27	0	skmes_parp14m3.adpr.msbio	Q6ZRI6	56905	-27	-1	111	27.009009009009	0.00900900900900901	0.000333555703802535	0.000370233246945576	NA
C15orf40	UPF0235 protein C15orf40 OS=Homo sapiens GN=C15orf40 PE=1 SV=2	sp|Q8WUR7|CO040_HUMAN	16 kDa	3	5	skmes_parp14m3.adpr.msbio	Q8WUR7	123207	2	0.4	16	3.0625	5.0625	1.6530612244898	1.66445182724253	NA
C15orf52	Uncharacterized protein C15orf52 OS=Homo sapiens GN=C15orf52 PE=1 SV=1	sp|Q6ZUT6|CO052_HUMAN	57 kDa	11	16	skmes_parp14m3.adpr.msbio	Q6ZUT6	388115	5	0.3125	57	11.0175438596491	16.0175438596491	1.45382165605096	1.45413260672116	NA
C17orf53	Uncharacterized protein C17orf53 OS=Homo sapiens GN=C17orf53 PE=1 SV=1	sp|Q8N3J3|CQ053_HUMAN	70 kDa	5	4	skmes_parp14m3.adpr.msbio	Q8N3J3	78995	-1	-0.2	70	5.01428571428571	4.01428571428571	0.800569800569801	0.800399201596806	NA
C19orf53	Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens GN=C19orf53 PE=1 SV=1	sp|Q9UNZ5|L10K_HUMAN	11 kDa	5	2	skmes_parp14m3.adpr.msbio	Q9UNZ5	28974	-3	-0.6	11	5.09090909090909	2.09090909090909	0.410714285714286	0.401197604790419	NA
C1orf112	Uncharacterized protein C1orf112 OS=Homo sapiens GN=C1orf112 PE=1 SV=1	sp|Q9NSG2|CA112_HUMAN	97 kDa	5	0	skmes_parp14m3.adpr.msbio	Q9NSG2	55732	-5	-1	97	5.01030927835052	0.0103092783505155	0.00205761316872428	0.00199600798403194	NA
C1orf122	Uncharacterized protein C1orf122 OS=Homo sapiens GN=C1orf122 PE=4 SV=2	sp|Q6ZSJ8|CA122_HUMAN	11 kDa	2	2	skmes_parp14m3.adpr.msbio	Q6ZSJ8	127687	0	0	11	2.09090909090909	2.09090909090909	1	1	NA
C2orf68	UPF0561 protein C2orf68 OS=Homo sapiens GN=C2orf68 PE=2 SV=1	sp|Q2NKX9|CB068_HUMAN	19 kDa	7	5	skmes_parp14m3.adpr.msbio	Q2NKX9	388969	-2	-0.285714285714286	19	7.05263157894737	5.05263157894737	0.716417910447761	0.714693295292439	NA
C3	Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2	sp|P01024|CO3_HUMAN	187 kDa	28	0	skmes_parp14m3.adpr.msbio	P01024	718	-28	-1	187	28.0053475935829	0.0053475935828877	0.000190949016612564	0.000357015351660121	C3
C4A	Complement C4-A OS=Homo sapiens GN=C4A PE=1 SV=2	sp|P0C0L4|CO4A_HUMAN (+1)	193 kDa	3	0	skmes_parp14m3.adpr.msbio	P0C0L4	720	-3	-1	193	3.00518134715026	0.00518134715025907	0.00172413793103448	0.00332225913621263	C4A
C8orf59	Uncharacterized protein C8orf59 OS=Homo sapiens GN=C8orf59 PE=1 SV=4	sp|Q8N0T1|CH059_HUMAN	11 kDa	5	4	skmes_parp14m3.adpr.msbio	Q8N0T1	401466	-1	-0.2	11	5.09090909090909	4.09090909090909	0.803571428571429	0.800399201596806	NA
CAD	CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3	sp|P27708|PYR1_HUMAN	243 kDa	38	3	skmes_parp14m3.adpr.msbio	P27708	790	-35	-0.921052631578947	243	38.0041152263374	3.00411522633745	0.0790471034109367	0.0791896869244935	CAD
CAPG	Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=1 SV=2	sp|P40121|CAPG_HUMAN	38 kDa	3	0	skmes_parp14m3.adpr.msbio	P40121	822	-3	-1	38	3.02631578947368	0.0263157894736842	0.00869565217391304	0.00332225913621263	CAPG
CAPRIN1	Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2	sp|Q14444|CAPR1_HUMAN	78 kDa	93	94	skmes_parp14m3.adpr.msbio	Q14444	4076	1	0.0106382978723404	78	93.0128205128205	94.0128205128205	1.01075120606478	1.01075153209332	CAPRIN1
CARD10	Caspase recruitment domain-containing protein 10 OS=Homo sapiens GN=CARD10 PE=1 SV=2	sp|Q9BWT7|CAR10_HUMAN	116 kDa	0	2	skmes_parp14m3.adpr.msbio	Q9BWT7	29775	2	1	116	0.00862068965517241	2.00862068965517	233	201	CARD10
CARD6	Caspase recruitment domain-containing protein 6 OS=Homo sapiens GN=CARD6 PE=1 SV=2	sp|Q9BX69|CARD6_HUMAN	116 kDa	2	13	skmes_parp14m3.adpr.msbio	Q9BX69	84674	11	0.846153846153846	116	2.00862068965517	13.0086206896552	6.47639484978541	6.4726368159204	CARD6
CASKIN2	Caskin-2 OS=Homo sapiens GN=CASKIN2 PE=1 SV=2	sp|Q8WXE0|CSKI2_HUMAN	127 kDa	2	2	skmes_parp14m3.adpr.msbio	Q8WXE0	57513	0	0	127	2.00787401574803	2.00787401574803	1	1	CASKIN2
CASP14	Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2	sp|P31944|CASPE_HUMAN	28 kDa	9	2	skmes_parp14m3.adpr.msbio	P31944	23581	-7	-0.777777777777778	28	9.03571428571429	2.03571428571429	0.225296442687747	0.223085460599334	CASP14
CAV1	Caveolin-1 OS=Homo sapiens GN=CAV1 PE=1 SV=4	sp|Q03135|CAV1_HUMAN	20 kDa	4	2	skmes_parp14m3.adpr.msbio	Q03135	857	-2	-0.5	20	4.05	2.05	0.506172839506173	0.501246882793017	CAV1
CAVIN3	Caveolae-associated protein 3 OS=Homo sapiens GN=CAVIN3 PE=1 SV=3	sp|Q969G5|CAVN3_HUMAN	28 kDa	6	6	skmes_parp14m3.adpr.msbio	Q969G5	112464	0	0	28	6.03571428571429	6.03571428571429	1	1	CAVIN3
CC2D1A	Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens GN=CC2D1A PE=1 SV=1	sp|Q6P1N0|C2D1A_HUMAN	104 kDa	33	32	skmes_parp14m3.adpr.msbio	Q6P1N0	54862	-1	-0.0303030303030303	104	33.0096153846154	32.0096153846154	0.969705796679289	0.969706149651621	CC2D1A
CCAR2	Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens GN=CCAR2 PE=1 SV=2	sp|Q8N163|CCAR2_HUMAN	103 kDa	13	10	skmes_parp14m3.adpr.msbio	Q8N163	57805	-3	-0.230769230769231	103	13.0097087378641	10.0097087378641	0.769402985074627	0.769408147578786	CCAR2
CCDC34	Coiled-coil domain-containing protein 34 OS=Homo sapiens GN=CCDC34 PE=1 SV=2	sp|Q96HJ3|CCD34_HUMAN	43 kDa	2	0	skmes_parp14m3.adpr.msbio	Q96HJ3	91057	-2	-1	43	2.02325581395349	0.0232558139534884	0.0114942528735632	0.00497512437810945	CCDC34
CCDC88A	Girdin OS=Homo sapiens GN=CCDC88A PE=1 SV=2	sp|Q3V6T2|GRDN_HUMAN	216 kDa	34	21	skmes_parp14m3.adpr.msbio	Q3V6T2	55704	-13	-0.382352941176471	216	34.0046296296296	21.0046296296296	0.617699115044248	0.617759482505146	CCDC88A
CCDC9	Coiled-coil domain-containing protein 9 OS=Homo sapiens GN=CCDC9 PE=1 SV=1	sp|Q9Y3X0|CCDC9_HUMAN	60 kDa	12	19	skmes_parp14m3.adpr.msbio	Q9Y3X0	26093	7	0.368421052631579	60	12.0166666666667	19.0166666666667	1.58252427184466	1.58284762697752	CCDC9
