genename	protein_desc	Accession_Number	Molecular_Weight	SKMES1.AF1521.DMSO_SpC	SKMES1.AF1521.Dox_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
ATP5O	ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1	sp|P48047|ATPO_HUMAN	23 kDa	8	6	skmes_dox.adpr.msbio	P48047	539	-2	-0.25	23	8.04347826086956	6.04347826086957	0.751351351351351	0.750312109862672	ATP5PO
ATPIF1	ATPase inhibitor, mitochondrial OS=Homo sapiens GN=ATPIF1 PE=1 SV=1	sp|Q9UII2|ATIF1_HUMAN	12 kDa	48	52	skmes_dox.adpr.msbio	Q9UII2	93974	4	0.0769230769230769	12	48.0833333333333	52.0833333333333	1.08318890814558	1.08331597583837	ATP5IF1
ATR	Serine/threonine-protein kinase ATR OS=Homo sapiens GN=ATR PE=1 SV=3	sp|Q13535|ATR_HUMAN	301 kDa	0	4	skmes_dox.adpr.msbio	Q13535	545	4	1	301	0.00332225913621262	4.00332225913621	1205	401	ATR
ATXN2L	Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L PE=1 SV=2	sp|Q8WWM7|ATX2L_HUMAN	113 kDa	3	6	skmes_dox.adpr.msbio	Q8WWM7	11273	3	0.5	113	3.00884955752212	6.00884955752212	1.99705882352941	1.99667774086379	ATXN2L
BAG6	Large proline-rich protein BAG6 OS=Homo sapiens GN=BAG6 PE=1 SV=2	sp|P46379|BAG6_HUMAN	119 kDa	5	8	skmes_dox.adpr.msbio	P46379	7917	3	0.375	119	5.00840336134454	8.00840336134454	1.5989932885906	1.59880239520958	BAG6
BAIAP2	Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens GN=BAIAP2 PE=1 SV=1	sp|Q9UQB8|BAIP2_HUMAN	61 kDa	64	47	skmes_dox.adpr.msbio	Q9UQB8	10458	-17	-0.265625	61	64.016393442623	47.0163934426229	0.734443021766965	0.734416497422278	BAIAP2
BAIAP2L1	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens GN=BAIAP2L1 PE=1 SV=2	sp|Q9UHR4|BI2L1_HUMAN	57 kDa	13	12	skmes_dox.adpr.msbio	Q9UHR4	55971	-1	-0.0769230769230769	57	13.0175438596491	12.0175438596491	0.923180592991914	0.923136049192928	BAIAP2L1
BCAP31	B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3	sp|P51572|BAP31_HUMAN	28 kDa	4	8	skmes_dox.adpr.msbio	P51572	10134	4	0.5	28	4.03571428571429	8.03571428571429	1.99115044247788	1.99750623441397	BCAP31
BCAS3	Breast carcinoma-amplified sequence 3 OS=Homo sapiens GN=BCAS3 PE=1 SV=3	sp|Q9H6U6|BCAS3_HUMAN	101 kDa	7	6	skmes_dox.adpr.msbio	Q9H6U6	54828	-1	-0.142857142857143	101	7.00990099009901	6.00990099009901	0.857344632768362	0.85734664764622	BCAS3
BCR	Breakpoint cluster region protein OS=Homo sapiens GN=BCR PE=1 SV=2	sp|P11274|BCR_HUMAN	143 kDa	0	2	skmes_dox.adpr.msbio	P11274	613	2	1	143	0.00699300699300699	2.00699300699301	287	201	BCR
BLMH	Bleomycin hydrolase OS=Homo sapiens GN=BLMH PE=1 SV=1	sp|Q13867|BLMH_HUMAN	53 kDa	4	6	skmes_dox.adpr.msbio	Q13867	642	2	0.333333333333333	53	4.0188679245283	6.0188679245283	1.49765258215962	1.49875311720698	BLMH
BRAT1	BRCA1-associated ATM activator 1 OS=Homo sapiens GN=BRAT1 PE=1 SV=2	sp|Q6PJG6|BRAT1_HUMAN	88 kDa	0	3	skmes_dox.adpr.msbio	Q6PJG6	221927	3	1	88	0.0113636363636364	3.01136363636364	265	301	BRAT1
BRD9	Bromodomain-containing protein 9 OS=Homo sapiens GN=BRD9 PE=1 SV=2	sp|Q9H8M2|BRD9_HUMAN	67 kDa	0	2	skmes_dox.adpr.msbio	Q9H8M2	65980	2	1	67	0.0149253731343284	2.01492537313433	135	201	BRD9
BTAF1	TATA-binding protein-associated factor 172 OS=Homo sapiens GN=BTAF1 PE=1 SV=2	sp|O14981|BTAF1_HUMAN	207 kDa	0	2	skmes_dox.adpr.msbio	O14981	9044	2	1	207	0.00483091787439614	2.0048309178744	415	201	BTAF1
BTF3	Transcription factor BTF3 OS=Homo sapiens GN=BTF3 PE=1 SV=1	sp|P20290|BTF3_HUMAN	22 kDa	8	8	skmes_dox.adpr.msbio	P20290	689	0	0	22	8.04545454545454	8.04545454545454	1	1	BTF3
BTF3L4	Transcription factor BTF3 homolog 4 OS=Homo sapiens GN=BTF3L4 PE=1 SV=1	sp|Q96K17|BT3L4_HUMAN	17 kDa	5	3	skmes_dox.adpr.msbio	Q96K17	91408	-2	-0.4	17	5.05882352941176	3.05882352941176	0.604651162790698	0.600798403193613	BTF3L4
BUB3	Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3 PE=1 SV=1	sp|O43684|BUB3_HUMAN	37 kDa	28	23	skmes_dox.adpr.msbio	O43684	9184	-5	-0.178571428571429	37	28.027027027027	23.027027027027	0.821600771456123	0.821492324169939	BUB3
BUD31	Protein BUD31 homolog OS=Homo sapiens GN=BUD31 PE=1 SV=2	sp|P41223|BUD31_HUMAN	17 kDa	28	38	skmes_dox.adpr.msbio	P41223	8896	10	0.263157894736842	17	28.0588235294118	38.0588235294118	1.35639412997904	1.35701535166012	BUD31
BZW1	Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens GN=BZW1 PE=1 SV=1	sp|Q7L1Q6|BZW1_HUMAN	48 kDa	4	0	skmes_dox.adpr.msbio	Q7L1Q6	9689	-4	-1	48	4.02083333333333	0.0208333333333333	0.00518134715025907	0.00249376558603491	BZW1
BZW2	Basic leucine zipper and W2 domain-containing protein 2 OS=Homo sapiens GN=BZW2 PE=1 SV=1	sp|Q9Y6E2|BZW2_HUMAN	48 kDa	12	9	skmes_dox.adpr.msbio	Q9Y6E2	28969	-3	-0.25	48	12.0208333333333	9.02083333333333	0.750433275563258	0.750208159866778	BZW2
C12orf65	Probable peptide chain release factor C12orf65, mitochondrial OS=Homo sapiens GN=C12orf65 PE=2 SV=1	sp|Q9H3J6|CL065_HUMAN	19 kDa	4	3	skmes_dox.adpr.msbio	Q9H3J6	91574	-1	-0.25	19	4.05263157894737	3.05263157894737	0.753246753246753	0.750623441396509	NA
C15orf39	Uncharacterized protein C15orf39 OS=Homo sapiens GN=C15orf39 PE=1 SV=3	sp|Q6ZRI6|CO039_HUMAN	111 kDa	0	10	skmes_dox.adpr.msbio	Q6ZRI6	56905	10	1	111	0.00900900900900901	10.009009009009	1111	1001	NA
C15orf40	UPF0235 protein C15orf40 OS=Homo sapiens GN=C15orf40 PE=1 SV=2	sp|Q8WUR7|CO040_HUMAN	16 kDa	0	2	skmes_dox.adpr.msbio	Q8WUR7	123207	2	1	16	0.0625	2.0625	33	201	NA
C19orf53	Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens GN=C19orf53 PE=1 SV=1	sp|Q9UNZ5|L10K_HUMAN	11 kDa	18	21	skmes_dox.adpr.msbio	Q9UNZ5	28974	3	0.142857142857143	11	18.0909090909091	21.0909090909091	1.16582914572864	1.16657412548584	NA
C1orf112	Uncharacterized protein C1orf112 OS=Homo sapiens GN=C1orf112 PE=1 SV=1	sp|Q9NSG2|CA112_HUMAN	97 kDa	0	3	skmes_dox.adpr.msbio	Q9NSG2	55732	3	1	97	0.0103092783505155	3.01030927835052	292	301	NA
C1orf174	UPF0688 protein C1orf174 OS=Homo sapiens GN=C1orf174 PE=1 SV=2	sp|Q8IYL3|CA174_HUMAN	26 kDa	3	3	skmes_dox.adpr.msbio	Q8IYL3	339448	0	0	26	3.03846153846154	3.03846153846154	1	1	NA
C2orf68	UPF0561 protein C2orf68 OS=Homo sapiens GN=C2orf68 PE=2 SV=1	sp|Q2NKX9|CB068_HUMAN	19 kDa	7	7	skmes_dox.adpr.msbio	Q2NKX9	388969	0	0	19	7.05263157894737	7.05263157894737	1	1	NA
C6orf203	Uncharacterized protein C6orf203 OS=Homo sapiens GN=C6orf203 PE=1 SV=1	sp|Q9P0P8|CF203_HUMAN	28 kDa	10	10	skmes_dox.adpr.msbio	Q9P0P8	51250	0	0	28	10.0357142857143	10.0357142857143	1	1	NA
C7orf50	Uncharacterized protein C7orf50 OS=Homo sapiens GN=C7orf50 PE=1 SV=1	sp|Q9BRJ6|CG050_HUMAN	22 kDa	2	3	skmes_dox.adpr.msbio	Q9BRJ6	84310	1	0.333333333333333	22	2.04545454545455	3.04545454545455	1.48888888888889	1.49751243781095	NA
C8orf59	Uncharacterized protein C8orf59 OS=Homo sapiens GN=C8orf59 PE=1 SV=4	sp|Q8N0T1|CH059_HUMAN	11 kDa	0	5	skmes_dox.adpr.msbio	Q8N0T1	401466	5	1	11	0.0909090909090909	5.09090909090909	56	501	NA
C9orf85	Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1	sp|Q96MD7|CI085_HUMAN	20 kDa	0	2	skmes_dox.adpr.msbio	Q96MD7	138241	2	1	20	0.05	2.05	41	201	NA
CACYBP	Calcyclin-binding protein OS=Homo sapiens GN=CACYBP PE=1 SV=2	sp|Q9HB71|CYBP_HUMAN	26 kDa	13	17	skmes_dox.adpr.msbio	Q9HB71	27101	4	0.235294117647059	26	13.0384615384615	17.0384615384615	1.30678466076696	1.30745580322829	CACYBP
CAD	CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3	sp|P27708|PYR1_HUMAN	243 kDa	4	10	skmes_dox.adpr.msbio	P27708	790	6	0.6	243	4.00411522633745	10.0041152263374	2.49845837615622	2.49625935162095	CAD
CADPS	Calcium-dependent secretion activator 1 OS=Homo sapiens GN=CADPS PE=1 SV=3	sp|Q9ULU8|CAPS1_HUMAN	153 kDa	2	3	skmes_dox.adpr.msbio	Q9ULU8	8618	1	0.333333333333333	153	2.00653594771242	3.00653594771242	1.49837133550489	1.49751243781095	CADPS
CALML5	Calmodulin-like protein 5 OS=Homo sapiens GN=CALML5 PE=1 SV=2	sp|Q9NZT1|CALL5_HUMAN	16 kDa	5	0	skmes_dox.adpr.msbio	Q9NZT1	51806	-5	-1	16	5.0625	0.0625	0.0123456790123457	0.00199600798403194	CALML5
CAMSAP2	Calmodulin-regulated spectrin-associated protein 2 OS=Homo sapiens GN=CAMSAP2 PE=1 SV=3	sp|Q08AD1|CAMP2_HUMAN	168 kDa	0	4	skmes_dox.adpr.msbio	Q08AD1	23271	4	1	168	0.00595238095238095	4.00595238095238	673	401	CAMSAP2
CANX	Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2	sp|P27824|CALX_HUMAN	68 kDa	22	19	skmes_dox.adpr.msbio	P27824	821	-3	-0.136363636363636	68	22.0147058823529	19.0147058823529	0.86372745490982	0.863698318945934	CANX
