gene.symbol	gene.arm	arm.ngenes	arm.amp.freq	arm.amp.qvalue	arm.del.freq	arm.del.qvalue	peak.wide.boundary.hg19	peak.qvalue	peak.residual.qvalue	peak.cytoband	peak.oncogenes	peak.ngenes	peak.size	peak.gene.pos	gene.loc.hg19	focal.amp.high	focal.amp.low	focal.amp.high.freq	focal.amp.low.freq	focal.amp.max	focal.del.high	focal.del.low	focal.del.min	focal.del.high.freq	focal.del.low.freq	focal.cnv.exp.cor	focal.cnv.exp.cor.pvalue	focal.amphigh.exp.lfc	focal.amplow.exp.lfc	focal.amp.exp.lfc	nsamples.x	all.amp.high	all.amp.low	all.amp.high.freq	all.amp.low.freq	all.amp.max	all.del.high	all.del.low	all.del.high.freq	all.del.low.freq	all.del.min	all.cnv.exp.cor	all.cnv.exp.cor.pvalue	all.amphigh.exp.lfc	all.amplow.exp.lfc	all.amp.exp.lfc	nsamples.y	cancer.code	cancer.name
DTX3L	3q	733	0.14	0.995	0.14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	66	0	6	0	0.0909090909090909	1.557	0	9	0	0.136363636363636	-0.944	0.488041662551918	3.72458291061307e-05	0	0	0	66	kich	Kidney Chromophobe
DTX3L	3q	733	0.14	0.0536	0.22	6.5e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0.00189393939393939	0.00189393939393939	0.467	0	3	-0.536	0	0.00568181818181818	0.0964872883685359	0.0269109861695937	0	0	0	528	2	62	0.00378787878787879	0.117424242424242	1.189	0	118	0	0.223484848484848	-0.842	0.381121992547453	1.25196101219137e-19	0	0.279834158097628	0.291738471818581	528	kirc	Kidney Renal Clear Cell Carcinoma
DTX3L	3q	733	0.33	0	0.04	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0.00347222222222222	0.00347222222222222	1.516	0	0	0	0	0	0.112922223992344	0.0564649422298599	0	0	0	288	1	95	0.00347222222222222	0.329861111111111	1.705	0	8	0	0.0277777777777778	-0.786	0.396869685690291	3.15497198321456e-12	0	0.408061162680327	0.418122203628888	288	kirp	Kidney Renal Papillary Cell Carcinoma
DTX3L	3q	733	0.01	0.95	0.02	0.904	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	191	0	1	0	0.00523560209424084	0.366	0	4	0	0.0209424083769634	-0.821	0.089547633892073	0.309086046860218	0	0	0	191	laml	Acute Myeloid Leukemia
DTX3L	3q	733	0.02	1	0.06	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0.00194931773879142	1.325	4	6	-0.921	0.00779727095516569	0.0116959064327485	0.130168093190414	0.00329138561886674	0	0	0	513	0	8	0	0.0155945419103314	0.767	4	34	0.00779727095516569	0.0662768031189084	-0.969	0.0623863150368107	0.160312839381584	0	0	0	513	lgg	Brain Lower Grade Glioma
DTX3L	3q	733	0.1	1	0.14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	0.0135135135135135	1.151	0	5	-0.484	0	0.0135135135135135	0.124299623234872	0.017666400845576	0	0	0	370	0	41	0	0.110810810810811	0.773	0	42	0	0.113513513513514	-0.784	0.13470271807233	0.010086177665745	0	0.0652084100639563	0.0652084100639563	370	lihc	Liver Hepatocellular Carcinoma
DTX3L	3q	733	0.21	1	0.36	0.00514	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	19	0.00193798449612403	0.0368217054263566	1.295	2	9	-0.575	0.00387596899224806	0.0174418604651163	0.212001499527157	1.09589912947088e-06	0	0.528927197126467	0.53709413088318	516	3	107	0.00581395348837209	0.207364341085271	1.502	1	130	0.00193798449612403	0.251937984496124	-0.853	0.429137903094945	1.14482325865602e-24	0	0.400527234079864	0.401200241199126	516	luad	Lung Adenocarcinoma
DTX3L	3q	733	0.68	0	0.58	1.8e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	39	0.0219560878243513	0.0778443113772455	2.064	6	11	-1.361	0.0119760479041916	0.0219560878243513	0.119821408884166	0.00737201425747855	0.418590134956009	-0.0131471621425154	0.0837734555734801	501	44	308	0.0878243512974052	0.614770459081836	2.873	1	33	0.00199600798403194	0.0658682634730539	-0.843	0.399173013676461	1.64507955910012e-20	0.931992249372686	0.429707056547949	0.491240570198842	501	lusc	Lung Squamous Cell Carcinoma
DTX3L	3q	733	0.24	0.0718	0.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	-2.051	0.0114942528735632	0	0.181326036102298	0.0947565117742794	0	0	0	87	0	18	0	0.206896551724138	0.676	1	6	0.0114942528735632	0.0689655172413793	-0.695	0.28860833797449	0.007041380479613	0	0.285870311612304	0.285870311612304	87	meso	 Mesothelioma
DTX3L	3q	733	0.5	4.85e-12	0.19	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	78	0.0276338514680484	0.134715025906736	2.334	4	36	-1.416	0.00690846286701209	0.0621761658031088	0.224406275480282	1.31474329929824e-05	0.774711667676187	0.231107273875568	0.324832169358434	579	25	299	0.0431778929188256	0.516407599309154	2.672	0	40	0	0.0690846286701209	-0.924	0.300713414708544	3.59289168309419e-09	0.750647407684712	0.155092484855945	0.206140049669839	579	ov	Ovarian Serous Cystadenocarcinoma
DTX3L	3q	733	0.12	1	0.12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0.00543478260869565	0.325	0	1	-0.316	0	0.00543478260869565	0.0944182927168235	0.212595108913101	0	0	0	184	1	21	0.00543478260869565	0.114130434782609	0.704	0	20	0	0.108695652173913	-0.689	0.26928480277663	0.000301507235829769	0	0.323791944500283	0.32557317108316	184	paad	Pancreatic Adenocarcinoma
DTX3L	3q	733	0	0.997	0.54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0.00617283950617284	0	0.823	0	5	-0.858	0	0.0308641975308642	0.0259987113145717	0.743386854136331	0	0	0	162	1	0	0.00617283950617284	0	0.254	0	93	0	0.574074074074074	-0.936	0.30314369110769	9.27268776289037e-05	0	0	0	162	pcpg	Pheochromocytoma and Paraganglioma
DTX3L	3q	733	0.11	1.72e-10	0.01	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	10	0.00609756097560976	0.0203252032520325	0.73	3	6	-0.969	0.00609756097560976	0.0121951219512195	0.191301883186677	2.05440826916557e-05	0	0.469017813230764	0.465727517999635	492	5	56	0.0101626016260163	0.113821138211382	1.386	3	11	0.00609756097560976	0.0223577235772358	-0.969	0.239966351029481	7.80581087703717e-08	0	0.501266486196114	0.493219243016934	492	prad	Prostate Adenocarcinoma
DTX3L	3q	733	0.21	1	0.08	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0.0181818181818182	1.091	0	1	-0.445	0	0.00606060606060606	0.121770142927971	0.120356966296705	0	0	0	165	0	34	0	0.206060606060606	1.173	0	9	0	0.0545454545454545	-0.445	0.232915476241652	0.00268786322340936	0	0.2522224784385	0.2522224784385	165	read	Rectum Adenocarcinoma
DTX3L	3q	733	0.17	1	0.23	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	7	0.0155642023346304	0.0272373540856031	3.405	4	12	-1.226	0.0155642023346304	0.0466926070038911	0.191410606448529	0.00214058279311703	0	0	0.755636373826312	257	3	36	0.0116731517509728	0.140077821011673	3.657	1	51	0.00389105058365759	0.198443579766537	-0.964	0.245070062136192	7.66300633574167e-05	0	0.485484859096796	0.56337805322867	257	sarc	Sarcoma
DTX3L	3q	733	0.22	1	0.19	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	0	0.0163487738419619	0.744	2	8	-1.56	0.00544959128065395	0.0217983651226158	0.0656658950038103	0.21008986865601	0	0	0	367	0	69	0	0.188010899182561	1.124	0	56	0	0.152588555858311	-0.938	0.293181760933303	1.09191935325304e-08	0	0.516452272144953	0.516452272144953	367	skcm	Skin Cutaneous Melanoma
DTX3L	3q	733	0.22	0.531	0.17	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	17	0.00453514739229025	0.0385487528344671	1.489	2	9	-0.702	0.00453514739229025	0.0204081632653061	0.151125093079222	0.00339309905832761	0	0.299054498218392	0.324312877069453	441	2	106	0.00453514739229025	0.240362811791383	1.423	1	48	0.00226757369614512	0.108843537414966	-0.702	0.337938335013219	1.91946245800627e-11	0	0.354320601156295	0.358947145562926	441	stad	Stomach Adenocarcinoma
DTX3L	3q	733	0.27	1	0.21	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	-0.45	0	0.00666666666666667	0.0766250735124767	0.351345780260618	0	0	0	150	0	34	0	0.226666666666667	0.919	0	25	0	0.166666666666667	-0.547	-0.066427219333712	0.419291690698855	0	-0.230492915804962	-0.230492915804962	150	tgct	Testicular Germ Cell Tumors
DTX3L	3q	733	0	0.995	0.01	0.995	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	499	0	2	0	0.00400801603206413	0.393	0	4	0	0.00801603206412826	-0.462	0.14927928566438	0.00087421887905894	0	0	0	499	thca	Thyroid Carcinoma
DTX3L	3q	733	0.04	0.993	0.06	0.732	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	-0.482	0	0.00813008130081301	0.15606270323813	0.0914908956832063	0	0	0	123	0	5	0	0.040650406504065	1.341	0	8	0	0.0650406504065041	-0.514	0.128603477103144	0.165170368846578	0	0	0	123	thym	Thymoma
DTX3L	3q	733	0.16	0.0045	0.08	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	21	0.00927643784786642	0.038961038961039	1.537	1	3	-0.9	0.00185528756957328	0.00556586270871985	0.228740883745226	7.89307394418326e-08	0	0.833112272630155	0.933464853532396	539	7	96	0.012987012987013	0.178107606679035	1.577	1	21	0.00185528756957328	0.038961038961039	-0.905	0.277968510909677	5.08859219426351e-11	0	0.616360312577176	0.685030786830976	539	ucec	Uterine Corpus Endometrial Carcinoma
DTX3L	3q	733	0.5	0.789	0.49	0.534	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	0.0178571428571429	0.0357142857142857	0.805	0	7	-0.891	0	0.125	0.164661851438841	0.229620506806779	0	0	0	56	0	24	0	0.428571428571429	2.334	0	14	0	0.25	-0.694	0.234415584415584	0.085038847228321	0	0.209992276281165	0.209992276281165	56	ucs	Uterine Carcinosarcoma
DTX3L	3q	733	0	0.983	0.54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	-0.936	0	0.0125	-0.0219246937666947	0.846929781101057	0	0	0	80	0	0	0	0	0.062	0	44	0	0.55	-1.055	0.00682902645838051	0.952060032151714	0	0	0	80	uvm	Uveal Melanoma
PARP1	1q	1195	0.09	1	0.27	0.769	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0.0333333333333333	0.477	0	0	0	0	0	0.175060907357534	0.127805431585647	0	0	0	90	0	15	0	0.166666666666667	1.322	0	12	0	0.133333333333333	-0.791	0.568544987736524	6.89130157273314e-08	0	0.700909788457844	0.700909788457844	90	acc	Adrenocortical Carcinoma
PARP1	1q	1195	0.33	4.6e-06	0.13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	32	0.00245098039215686	0.0784313725490196	1.057	5	22	-3.847	0.0122549019607843	0.053921568627451	0.268328684628115	3.84509421059491e-08	0	0.432696639111478	0.460954523615499	408	1	139	0.00245098039215686	0.340686274509804	1.057	1	52	0.00245098039215686	0.127450980392157	-1.245	0.403358477624994	2.34719490650937e-17	0	0.40566443950773	0.413071232008276	408	blca	Bladder Urothelial Carcinoma
PARP1	1q	1195	0.65	0	0.32	1.99e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	134	0.0481481481481481	0.124074074074074	1.888	8	20	-1.786	0.00740740740740741	0.0185185185185185	0.260648740258291	4.15649988440672e-18	0.480746388744643	0.343890356895843	0.381695890555733	1080	138	662	0.127777777777778	0.612962962962963	2.756	0	25	0	0.0231481481481481	-0.882	0.607519678249592	3.88226753421762e-109	0.754961746014361	0.600597515055025	0.626583453432602	1080	brca	 Breast Invasive Carcinoma
PARP1	1q	1195	0.49	0	0.08	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	16	0.00338983050847458	0.0542372881355932	1.061	3	4	-0.813	0.0101694915254237	0.0135593220338983	0.240819125491891	3.19874418454594e-05	0	0.54295485470065	0.47865834866459	295	4	144	0.0135593220338983	0.488135593220339	2.284	2	11	0.00677966101694915	0.0372881355932203	-0.725	0.471147913187253	1.53382165659377e-17	0	0.343251061542921	0.3484340608438	295	cesc	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma
PARP1	1q	1195	0.59	3.99e-09	0.12	0.979	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	0.111111111111111	1.506	0	1	-0.833	0	0.0277777777777778	0.26922598326072	0.112326342920382	0	0	0	36	4	18	0.111111111111111	0.5	2.934	0	1	0	0.0277777777777778	-0.367	0.657525477140899	1.31805671802024e-05	0	0.352078611688095	0.416129471425129	36	chol	Cholangiocarcinoma
PARP1	1q	1195	0.19	0.00153	0.16	0.122	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	10	0.00221729490022173	0.0221729490022173	1.55	0	4	-0.699	0	0.00886917960088692	0.0741147151997926	0.113597259005538	0	0.0288603120517852	0.0933410080828336	451	2	93	0.00443458980044346	0.206208425720621	1.581	0	47	0	0.104212860310421	-0.735	0.239696925974637	2.14983315572826e-07	0	0.23715423668158	0.25084131884818	451	coad	Colon Adenocarcinoma
PARP1	1q	1195	0.13	0.248	0.02	0.985	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0.0208333333333333	0.0208333333333333	0.852	2	4	-0.904	0.0416666666666667	0.0833333333333333	0.388458366534493	0.00636351359489379	0	0	0	48	1	5	0.0208333333333333	0.104166666666667	0.852	2	6	0.0416666666666667	0.125	-0.941	0.345685060339955	0.0161038203005845	0	0	0	48	dlbc	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
PARP1	1q	1195	0.38	0.000776	0.22	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	31	0.0108695652173913	0.168478260869565	1.423	0	7	-0.864	0	0.0380434782608696	0.310397457513775	6.48067838955218e-05	0	0.291183287520777	0.317047943497062	184	4	86	0.0217391304347826	0.467391304347826	1.749	0	15	0	0.0815217391304348	-0.878	0.531776784102179	4.63219401494185e-13	0	0.397258618681412	0.427647940332515	184	esca	Esophageal Carcinoma
PARP1	1q	1195	0.16	1.43e-06	0.03	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	11	0.00519930675909879	0.0190641247833622	1.608	4	23	-1.116	0.00693240901213172	0.0398613518197574	0.25994530440065	0.00153182445165632	0	0.297611098393055	0.297611098393055	577	2	84	0.00346620450606586	0.145580589254766	1.453	0	40	0	0.0693240901213172	-0.964	0.401029428511065	5.27083687263771e-07	0	0.360245205478427	0.360245205478427	577	gbm	Glioblastoma Multiforme
PARP1	1q	1195	0.25	2.12e-08	0.11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	23	0.00957854406130268	0.0440613026819923	1.314	0	4	-0.299	0	0.00766283524904215	0.164557907459055	0.000239449538336023	0	0.250063842986624	0.380234096057857	522	5	136	0.00957854406130268	0.260536398467433	2.008	0	35	0	0.0670498084291188	-0.348	0.445033321569733	2.10604537113283e-25	0	0.375701043237542	0.401380524605976	522	hnsc	Head and Neck Squamous Cell Carcinoma
PARP1	1q	1195	0.07	0.995	0.78	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	-0.133	0	0.0151515151515152	-0.133250447722257	0.28997239678208	0	0	0	66	0	1	0	0.0151515151515152	0.129	0	51	0	0.772727272727273	-0.953	0.410799943205721	0.000676098054913522	0	0	0	66	kich	Kidney Chromophobe
PARP1	1q	1195	0.1	0.684	0.08	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	0.00189393939393939	0.00568181818181818	0.479	0	8	-0.846	0	0.0151515151515152	0.166165691446169	0.000128905692716687	0	0	0	528	1	57	0.00189393939393939	0.107954545454545	1.155	0	41	0	0.0776515151515152	-0.846	0.190709938170414	1.06297138664118e-05	0	0.385230659951737	0.390392660608488	528	kirc	Kidney Renal Clear Cell Carcinoma
PARP1	1q	1195	0.06	1	0.08	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0.00347222222222222	0.773	0	2	-0.897	0	0.00694444444444444	-0.0444072697034075	0.454414767525722	0	0	0	288	0	19	0	0.0659722222222222	1.455	0	21	0	0.0729166666666667	-0.929	0.456950471911292	3.67971265182642e-16	0	0.780517697401984	0.780517697401984	288	kirp	Kidney Renal Papillary Cell Carcinoma
PARP1	1q	1195	0.01	0.95	0	0.949	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0.0104712041884817	0	0.809	0	0	0	0	0	0.212385414262688	0.0148746543516904	0	0	0	191	2	2	0.0104712041884817	0.0104712041884817	0.809	0	0	0	0	-0.022	0.134151320850285	0.126604405866883	0	0	0	191	laml	Acute Myeloid Leukemia
PARP1	1q	1195	0.05	1	0.05	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	0.00194931773879142	0.00389863547758285	3.657	1	10	-0.811	0.00194931773879142	0.0194931773879142	0.181473137858402	3.88302910012035e-05	0	0	0	513	1	29	0.00194931773879142	0.0565302144249513	3.657	1	26	0.00194931773879142	0.050682261208577	-0.811	0.13565090301653	0.0021835607424807	0	0.312102280698785	0.430868863930804	513	lgg	Brain Lower Grade Glioma
PARP1	1q	1195	0.61	0	0.3	2.19e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	34	0.027027027027027	0.0918918918918919	1.542	2	7	-2.677	0.00540540540540541	0.0189189189189189	0.153313757775872	0.00336424474932662	0.0806447771797476	0.20963918061242	0.180322270741359	370	29	234	0.0783783783783784	0.632432432432432	2.677	1	9	0.0027027027027027	0.0243243243243243	-0.942	0.567256706906439	2.20843190834636e-32	0.823803958467737	0.657655665218268	0.676331248568015	370	lihc	Liver Hepatocellular Carcinoma
PARP1	1q	1195	0.63	0	0.27	0.782	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	30	0.0174418604651163	0.0581395348837209	1.513	2	8	-0.805	0.00387596899224806	0.0155038759689922	0.175556304287225	5.79329419229727e-05	0	0.34127306913242	0.436792096189896	516	28	320	0.0542635658914729	0.62015503875969	1.938	0	24	0	0.0465116279069767	-0.51	0.48212830810993	1.44381927097279e-31	0.78057491679988	0.46661947804726	0.490769896412846	516	luad	Lung Adenocarcinoma
PARP1	1q	1195	0.41	1.28e-05	0.29	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	57	0.00998003992015968	0.11377245508982	2.599	2	13	-0.637	0.00399201596806387	0.0259481037924152	0.252240048681358	1.10922696669566e-08	0	0.340427717379809	0.382226894024297	501	13	246	0.0259481037924152	0.491017964071856	2.609	0	33	0	0.0658682634730539	-0.578	0.53168719445619	9.30412640595477e-38	0.730982837943026	0.378591747058826	0.396347887297177	501	lusc	Lung Squamous Cell Carcinoma
PARP1	1q	1195	0.24	0.0182	0.03	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0.0114942528735632	0.0114942528735632	0.943	0	1	-0.55	0	0.0114942528735632	0.0199736467597064	0.855162325453561	0	0	0	87	1	23	0.0114942528735632	0.264367816091954	1.306	0	1	0	0.0114942528735632	-0.55	0.451401658890026	1.28765233707574e-05	0	0.339310971159273	0.341586976610516	87	meso	 Mesothelioma
PARP1	1q	1195	0.4	5.93e-08	0.14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	107	0.0569948186528497	0.184801381692573	3.156	0	41	-0.871	0	0.0708117443868739	0.436571868673325	1.19217008903506e-18	0.620388031256818	0.354852957954028	0.422855842580352	579	48	262	0.0829015544041451	0.452504317789292	3.429	0	46	0	0.079447322970639	-1.006	0.575112390815472	5.81269877811889e-34	0.740417104953145	0.375741138148068	0.433126696376278	579	ov	Ovarian Serous Cystadenocarcinoma
PARP1	1q	1195	0.28	9.64e-11	0.09	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	0.00543478260869565	0.0108695652173913	0.383	1	0	-0.815	0.00543478260869565	0	0.0893963804713545	0.238043895265524	0	0	0	184	3	54	0.016304347826087	0.293478260869565	1.407	1	7	0.00543478260869565	0.0380434782608696	-0.917	0.278993357351681	0.00017710166477939	0	0.235185689177796	0.235008250319772	184	paad	Pancreatic Adenocarcinoma
PARP1	1q	1195	0.13	0.125	0.19	6.65e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	3	-1.256	0.00617283950617284	0.0185185185185185	0.0987991070182174	0.212432250937717	0	0	0	162	4	19	0.0246913580246914	0.117283950617284	1.072	0	17	0	0.104938271604938	-0.878	0.293922541849702	0.00015411915335372	0	0.37768204568177	0.387826331366686	162	pcpg	Pheochromocytoma and Paraganglioma
PARP1	1q	1195	0.05	0.0538	0.02	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0.00609756097560976	0.71	14	20	-1.417	0.0284552845528455	0.040650406504065	0.37470433007479	9.54445437220813e-18	0	0	0	492	0	29	0	0.0589430894308943	0.89	12	26	0.024390243902439	0.0528455284552846	-0.979	0.376724974789508	6.17331536330682e-18	0	0.429928356978007	0.429928356978007	492	prad	Prostate Adenocarcinoma
PARP1	1q	1195	0.22	0.69	0.24	0.265	chr1:183052034-249250621	0.14328	0.18287	1q32.1	ELK4,MDM4,TPR,AKT3	556	66198587	all within	chr1:226548392-226595780	1	8	0.00606060606060606	0.0484848484848485	1.678	0	2	-0.676	0	0.0121212121212121	0.16738106254935	0.0321721691659225	0	0	0	165	2	44	0.0121212121212121	0.266666666666667	1.787	0	16	0	0.096969696969697	-0.677	0.450246752170713	1.45742876288777e-09	0	0.342465304084923	0.376465127945896	165	read	Rectum Adenocarcinoma
